text,images,compensation,link,address,date,type
Full Stack Software Engineer,,Commensurate with experience,https://boston.craigslist.org/gbs/sof/d/cambridge-full-stack-software-engineer/6962929768.html,"
        ,
Apply here: ,
,
Superpedestrian brings together a team of extraordinary people for one vision: transforming urban mobility. To work with us, you should possess a strong desire to change the way people everywhere move about cities. We're revolutionizing personal transit for a sustainable future. Superpedestrian is an equal opportunity employer, with women and minorities strongly encouraged to apply. We care about your skills and your character. If we think there's a good fit, we will get in touch. So please, no phone calls or recruiters.,
,
The software team at Superpedestrian works on our scooter and electric bike fleet management and Vehicle Intelligence system. This includes backend and APIs to support the rich data we collect, communication and security for IoT, manufacturing integration, research and support tools, mobile SDKs and much more!  We’re a tight knit, industrious bunch and we are seeking a Senior Software Engineer to join the team. The ideal candidate has strong skills in backend development, optimizing algorithms and database structures, but can contribute on multiple levels.,
,
There are currently several opportunities open in the software team, and we are looking for candidates at different stages of their career. Don't hesitate to apply if you only meet some of the preferred qualifications or if you feel you're overqualified. This is a position where you will have the opportunity to shape your responsibilities based on your skills and interests.,
,
,
What you'll do:,
 - Create multiple database-backed API backends,
 - Collaborate with cross-functional teams to define, design and ship new features,
 - Contribute across the stack on developing web applications, data layers, and back end services,
 - Unit-test code for robustness, including edge cases, usability and general reliability,
 - Work on improving application performance and bug fixes,
 - Continuously discover, evaluate, and implement new technologies to maximize development efficiency and application performance,
 - Participate in cross-team peer code reviews,
 - Participate in Agile Scrum sprint and release planning,
,
What we're looking for:,
 - 2+ years of industry experience building scalable backend services,
 - Significant experience with Python,
 - Experience with Django, Rails, Node or similar web framework,
 - Undergraduate degree in computer science or related field,
 - Experience with RESTful web services, JSON,
 - Working knowledge of database systems    ",2019-08-23 11:41,full-time
Senior Software Engineer,,DOE,https://boston.craigslist.org/gbs/sof/d/boston-senior-software-engineer/6949690887.html,"
        ,
,PI112575454,    ",2019-08-04 23:14,
Principal Software Engineer,,DOE,https://boston.craigslist.org/gbs/sof/d/boston-principal-software-engineer/6949698786.html,"
        ,
,PI112575457,    ",2019-08-04 23:39,full-time
VP of Engineering for Growing Medical Device Company,,TBD,https://boston.craigslist.org/gbs/egr/d/roslindale-vp-of-engineering-for/6946326035.html,"
        ,
We are a four-year-old medical technology company founded by a team of accomplished entrepreneurs that have built multiple successful, multi-million dollar companies, including two that we took public on the NASDAQ.  ,
This company is growing rapidly and has been well funded, having raised $14.5 million dollars to date.  ,
,
We have created and patented a revolutionary orthopedic rehabilitation device.  Response to the new device has been very strong, with endorsement by 126 highly respected surgeons nationwide.  First versions of the device have been sold into more than 75 hospitals and clinics including many of the top 20 organizations in the country.  ,
,
We are now nearing completion of our second product, a portable version of our first flagship device.  A growing list of surgeons are pre-ordering the product in anticipation of launch this spring.,
,
The new product features wearable devices for measuring and tracking patient progress.,
,
We are now seeking a full-time VP of Engineering (near Boston or surrounding area), with a proven track record of successfully bringing new medical devices from specs to market. This person will report directly to our CEO and manage a small team of mechanical, electrical, and software engineers, industrial designers, and fabricators which will turn pictures, drawings, specs, illustrations, directions and requirements into a working, market-ready device; and hand it off to manufacturing.,
,
The company is located in western Connecticut.  This candidate must be located either in Boston or western Connecticut, or nearby enough that they can easily commute there for meetings.  Alternatively the company will consider relocating a very qualified candidate.,
,
The current product is being finalized and tested for market readiness.  Another device is in early stages of engineering, and there are multiple additional products planned behind these.  For the right candidate, there are likely to be many years of engineering work ahead.,
,
The desired candidate will oversee and manage each contributing engineer on timelines and budgets. The VP of Engineering drives the planning, design, prototyping, testing, and refinement of product development.,
The highest quality we are seeking is the ability to make things go right to get high quality work done with very aggressive targets.  ,
,
The ideal candidate has:,
,
 an entrepreneurial, “guerilla warfare” mindset and style, i.e. builds things fast and cheap and demonstrates them quickly, versus big-company-big-budget-long-timeline; ,
an extreme sense of urgency; ,
a high level of creativity and a vast knowledge of a wide variety of materials and methods of solving engineering problems; ,
an ability to plan activities and processes in parallel; ,
and a positive “get it done” “this will be easy” attitude; ,
combining to push projects to completion at rapid speed.,
The candidate should be familiar with and operate with lean and agile best practices with frequent builds, and with creating a minimum viable product as first priority.,
,
The Engineering Manager will need to:,
,
Assess proposals and identify any additional partners/consultants needed for key aspects of the design, testing, and manufacturing processes,
Manage diverse teams of engineers and designers,
Keep detailed and accurate records,
Cooperate with and support quality management system for regulatory requirements,
Use your experience and expertise to take the lead while remaining flexible enough to implement and adapt to feedback and requirements from management and advisors,
Continue building a strong, lean, and talented Engineering team through the development of internal talent as well as external hiring,
Build multiple teams over time for various projects, yet share intelligence between teams.,
,
Key Requirements:,
10+ years of experience engineering products,
Experience in medical devices, orthopedics, medical background / training / anatomy, medical regulatory agencies and procedures, are all a plus but not required,
Can demonstrate past success moving products from concept to market,
Ability to work well under pressure to meet aggressive deadlines,
Skilled at reading, processing, and working with technical writing and data,
Ability to interface effectively with engineers to complete work and achieve targets,
Experience using product management software, including ability to quickly learn how to use new management software,
,
Qualified candidates, please respond and include:,
A cover letter detailing why you are the ideal fit for this job and your current pay requirements,
An up-to-date resume,
A list of devices (medical or otherwise) which you have personally successfully led the charge in engineering from specs to showroom ,
,
Please respond to this post only. Do not contact the company via phone or email outside of this post. ,
,
For the right candidate, this is a long-term position with tremendous growth potential.  Compensation is competitive and is based on experience, accomplishments, and proven success.  The company is willing to compensate in the upper range for a candidate who demonstrate extraordinary productivity over time.,
,
Finally, openness, honesty, and candidness are qualities we respond to—as opposed to framing things in the right way with the right words. Please be who you are and let the dice roll.,
    ",2019-07-31 10:35,full-time
Test Automation Engineer,,full-time,https://boston.craigslist.org/gbs/sof/d/boston-test-automation-engineer/6956649617.html,"
        ,

        ,
    ",2019-08-14 15:13,
Implementation Engineer,,full-time,https://boston.craigslist.org/gbs/sof/d/boston-implementation-engineer/6955789282.html,"
        ,

        ,
    ",2019-08-13 13:10,
Lead .NET Developer,,,https://boston.craigslist.org/gbs/sof/d/boston-lead-net-developer/6956537867.html,"
        ,

        ,
    ",2019-08-14 13:13,
"Free Tech Job Training and Optional Job Placement  - Make 80,000 - 120,000 per y",,"80,000 to 100,000",https://boston.craigslist.org/bmw/web/d/ashland-free-tech-job-training-and/6965009469.html,"
        ,
,    ",2019-08-26 12:34,contract
Architectural Designer / Project Manager,,Commensurate with experience,https://boston.craigslist.org/gbs/egr/d/cambridge-architectural-designer/6950829549.html,"
        ,
America Dural, Inc. is a residential architecture and interior design firm, seeking designers across various levels. We are looking for qualified, self-motivated candidates with an established eye for design, that wants to part of a creative work environment and develop skills through experience within our firm.,
,
The ideal candidate will have a passion for residential architecture and design and possess the ability to manage multiple phases of project development. Responsibilities will include (but not limited to):,
-Documenting and drafting existing conditions,
-Creation and development of AutoCAD floor plans, elevations, and millwork detailing,
-Preparation of furniture layouts, schematic floor plans, and design elements by hand sketching,
-Research and develop materials, furniture and finish selections for client presentations,
-Manage project schedules and budgets,
-Organize client files and document project correspondence,
-Attend site visits and oversee work across multiple phases of design through construction,
-Attend client meetings with principal,
-Source new products, materials and vendors and maintain positive relationships with established vendors,
,
Qualifications:,
-Bachelor's degree in Interior Design or Architecture,
-Minimum of 3-5 years experience,
-Demonstrated proficiency in AutoCAD is required,
-Proficiency in Sketchup, Adobe Creative Suite, MS Office is desired,
-Familiarity with Quickbooks (or comparable software for invoicing, billing and tracking) is a plus.,
-Ability to execute development of design concepts from schematic design through construction,
-Excellent written and verbal communication skills,
-Ability to independently manage time and work schedule to meet project deadlines,
-Highly organized, detail oriented and self-sufficient,
-Experience working with vendors and contractors; having established vendor relationships in the area is a plus!,
-A valid driver's license with reliable transportation for visits to job sites, vendors, etc. is a plus but not a requirement,
,
Compensation will be commensurate with experience. We are looking for someone full-time, to join our team based out of our office in Cambridge, MA. If you feel like you would be a good fit please reach out with your resume and portfolio!    ",2019-08-06 13:35,full-time
CIVIL ENGINEERS & Surveyors - All Levels,"https://images.craigslist.org/00101_3qprXDEeCRQ_600x450.jpg,https://images.craigslist.org/00s0s_5ULF13MvOda_600x450.jpg,https://images.craigslist.org/00q0q_e3jjxRHrFJG_600x450.jpg,https://images.craigslist.org/00S0S_gg3BrssLVpY_600x450.jpg,https://images.craigslist.org/00909_4npqDFanL7x_600x450.jpg,https://images.craigslist.org/01111_aj23sDEOWmN_600x450.jpg,https://images.craigslist.org/00u0u_eWrZMPd73KC_600x450.jpg,https://images.craigslist.org/00Y0Y_7FbOIsehvH2_600x450.jpg,https://images.craigslist.org/00A0A_k6oLYjPcwd5_600x450.jpg,https://images.craigslist.org/00505_7Zcr1Kqq5WW_600x450.jpg,https://images.craigslist.org/00p0p_3qJZnXkVFoz_600x450.jpg,https://images.craigslist.org/00w0w_l5dazEcmdO0_600x450.jpg,https://images.craigslist.org/01717_5OlyBmkOBuF_600x450.jpg,https://images.craigslist.org/00808_gI1l6wPbXIx_600x450.jpg,https://images.craigslist.org/00Y0Y_cEpigprK6xc_600x450.jpg,https://images.craigslist.org/00g0g_kU2K4cAi2Xv_600x450.jpg","Dependent on experience level; Full time with benefits, healthcare, 401k",https://boston.craigslist.org/gbs/egr/d/boston-civil-engineers-surveyors-all/6956264295.html,"
        ,
,  ,
 ,  ,  
  ,

We have positions for: Civil CAD Designer, Civil Project Engineer, Licensed Civil Engineer, Civil Project Manager, Structural Engineers and Land Surveyors    , ,

Positions open for types of project disciplines: Land Development / Site Development, Transportation Engineering, Structural Engineering, Land Surveying and Water Resources   , ,

For CONFIDENTIAL CONSIDERATION: ,
Email your resume to: jobs@trabucogroup.com 
, ,
For full list of Engineering positions, visit us at: ,    ",2019-08-14 02:52,full-time
