text,images,compensation,link,address,date,type
C++ Software Engineer,,based on experience,https://chicago.craigslist.org/chc/sof/d/chicago-software-engineer/6953008490.html,"
        ,
Wolverine is looking for strong C++ programmers who enjoy working with a cross-discipline team to develop and improve our world-class trading systems. Our ideal candidate will excel at working with technical and business experts to identify and implement new trading strategies, while also being able to investigate, debug and fix mission critical problems as they occur. This is a hands-on position which will involve full development cycles, from requirements collection to final deployment, and includes ongoing support for internal users. Here at Wolverine we create industry-leading systems to implement innovative trading strategies, with equal emphasis on performance, risk-management, and stability. In addition to excitement for this field, we are looking for enthusiasm, versatility, and most importantly, a passion for technology and drive to learn. ,
,
What You’ll Do ,
•	Perform full life cycle development and deployment of C++ applications and libraries for exchange gateways, trading strategy execution, risk management and trade reporting ,
•	Develop systems to maintain, analyze and improve performance, integrity and reliability of existing applications,
•	Investigate and fix problems with production systems in real-time,
•	Construct experiments and analyze data to identify ways to improve technical performance and new trading opportunities, ensuring that results are valid and reproducible,
•	Collaborate with technical and business peers to develop new trading strategies and systems,
•	Communicate technical knowledge to both technical and non-technical audiences,
,
Skills You’ll Need ,
•	Top-notch C/C++ coding skills, with a solid foundation in data structures,
•	Excitement for developing and dedication to testing ,
•	Excellent analytical and problem solving skills ,
•	Passion for writing clean high quality code and the ability to provide, and take, code review feedback ,
•	Willingness to collaborate and learn from other team members ,
•	Ability to take ownership over projects and be self-directed on what needs to happen next ,
•	Strong communication skills with both engineers and people without a technical background ,
•	Experience with SQL database, mutli-thread programming, STL & Boost,
•	Bachelor’s degree in Computer Science or Computer Engineering, or equivalent. ,
,
To Apply,
Please click here , or visit the careers section of www.wolve.com ,
,
Visa sponsorship is not available for this role    ",2019-08-09 11:28,full-time
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://chicago.craigslist.org/chc/web/d/chicago-free-tech-training-and-optional/6959880596.html,"
        ,
,    ",2019-08-19 10:05,contract
CAD OPERATOR/ENGINEERING TECHNICIAN FOR CIVIL ENGINEERING COMPANY,,DOE,https://chicago.craigslist.org/nwc/egr/d/glencoe-cad-operator-engineering/6961401868.html,"
        ,
ESSENTIAL DUTIES AND FUNCTIONS,
•	Drafting of civil engineering plans and topographical surveys for land development/redevelopment for individual, commercial, residential and municipal projects. ,
•	Ability to work in a dynamic environment and adapt to frequent project changes.,
•	Ability to comprehend complex instructions and interpret diagrams and notes to create or modify electronic drawings.,
•	Accuracy and effectiveness in computer aided drafting (MicroStation),
•	Follow filing, storage and retrieval methods of both manual and electronic drawings.,
•	Coordinate with engineers and other personnel to incorporate concepts and information into drawing packages.,
•	Ability to work effectively as part of a team or independently with minimal oversight.,
QUALIFICATION REQUIREMENTS,
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Familiarity with, and understanding of Civil Engineering concepts and terminology is important. Must have working knowledge of Bentley products, MicroStation, Geopak, Open Roads, PC application software and drafting/surveying practices and methods. Knowledge of Adobe Acrobat and current version of MicroStation is required. Knowledge of AutoCAD is also helpful. ,
EDUCATION AND EXPERIENCE,
A high school diploma is required. Post-secondary and/or technical school education is highly desirable with a minimum of five years of progressively responsible drafting related CAD experience with emphasis on civil disciplines.,
    ",2019-08-21 09:46,full-time
Sales Engineer (Remote),,Competitive,https://chicago.craigslist.org/chc/sof/d/chicago-sales-engineer-remote/6947691398.html,"
        ,
,Please apply online with HiringThing at: ,
    ",2019-08-02 05:49,full-time
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://chicago.craigslist.org/chc/web/d/chicago-free-tech-training-and-optional/6947467458.html,"
        ,
,    ",2019-08-01 17:23,contract
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://chicago.craigslist.org/chc/web/d/chicago-free-tech-training-and-optional/6957116127.html,"
        ,
,    ",2019-08-15 09:32,contract
Quantitative Research Engineer,,Salary,https://chicago.craigslist.org/chc/sof/d/chicago-quantitative-research-engineer/6962451446.html,"
        ,
Quantitative Research Engineer (Citadel Americas LLC – Chicago, IL) Design, develop, test and deploy software solutions for automated trading systems and quantitative research tools. Partner with Quantitative Researchers to create and implement software solutions that leverage sophisticated statistical techniques and technologies. Develop and enhance financial risk models, alpha models, transaction cost models and other numerical algorithms. Conduct research and statistical analyses to evaluate financial markets. Develop and back-test real-time investment and execution algorithms. Develop real-time hedging and portfolio optimization algorithms. Responsible for prototype, back-testing, and technical implementation of quantitative trading strategies. ,
Requires a Master’s degree (or foreign equivalent) in Computer Science, Electrical Engineering, Statistics, Mathematics, Computational Finance or a related field and 1 year of experience in the job offered or with software development used in the financial industry. Must also have 1 year of experience in each of the following: Distributed Computing, Natural Language Processing, Machine Learning, Platform Development, Networking, System Design, or Web Development techniques; programming with Python, C++, R or similar; object-oriented analysis and design; statistical modelling including linear regression modelling; and, working with data structures, algorithms and architecture paradigms. Experience may be gained concurrently.,
Please submit resumes by mail to Citadel Americas LLC, Attn: Employee Relations/LE, 131 S. Dearborn St, 32nd Floor, Chicago, IL 60603. Reference JobID: 4164305.,
    ",2019-08-22 15:17,full-time
Sr. Site Reliability Engineer,,Salary,https://chicago.craigslist.org/chc/sof/d/chicago-sr-site-reliability-engineer/6962399404.html,"
        ,
Sr. Site Reliability Engineer (Citadel Securities Americas LLC – Chicago, IL) Develop, deploy and configure software updates, carrying out the software development life cycle including quality assurance and production activities. Monitor the health and performance of production trading system applications. Design and implement automation features to enhance robustness and throughput of trading environment. Build reports and analyses of daily operation of production software, hardware and systems. Develop tools and workflows that enhance visibility of trading system behavior.,
,
Requires a Bachelor’s degree (or foreign equivalent) in Computer Science, Engineering or a related field and 2 years of experience in the job offered or building and managing large-scale systems and application architectures. All stated experience must include the following: trading systems applications including OMS and FIX engines; administering UNIX/Linux systems in a production environment; networking; scripting languages including Perl, Python, Sybase SQL and Shell Scripting; and, software development, testing methodologies and test tools.,
Please submit resumes by mail to Citadel Securities Americas LLC, Attn: Employee Relations/LE, 131 S. Dearborn St, 32nd Floor, Chicago, IL 60603. Reference JobID: 4491793.    ",2019-08-22 14:17,full-time
Senior Software Engineer,,Competitive,https://chicago.craigslist.org/chc/sof/d/chicago-senior-software-engineer/6947148369.html,"
        ,
iProspect, the world’s leading digital performance marketing agency, is looking for a Senior Software Engineer to help expand and improve our technology platform. If you’re interested in joining a team that values learning, teaching, growth, communication, and solving problems for clients and stakeholders; if you’re interested in working with open source tools to design, build, operate, and scale a platform that supports web sites and media operations for major companies; if you’re always looking for ways to improve communication, empower your teammates, and make software easier to understand, monitor, and operate; then we’d love to talk with you.,
,
,
About the Team,
iProspect’s Technology Team runs like an agile startup team even though we’re a 50-person team with Engineering and Product backgrounds. We believe that hiring people from different backgrounds and experiences builds a stronger team. Our culture is one that fosters teaching and learning and as a result, we focus on building and developing talent as a means to build great software and systems. We’re an Open Source shop. We use Ruby, Python, and JavaScript; PostgreSQL, RabbitMQ and Redis; Consul, Ansible, Terraform, and Prometheus. We do use some commercial tools, though, like SQL*Server and Tableau. Our core platforms are built out in a cloud infrastructure in AWS.,
,
,
We like to be open-minded and pragmatic. We use Agile/Scrum to run our teams, but more importantly, we dedicate a lot of effort to team development—making sure teams have the resources and environment most conducive to their success.  ,
,
,
About the Position:,
As a Senior Software Engineer on our Technology Team, you will help us support a major expansion in the breadth and depth of iProspect’s platforms, including the content management system that runs web sites for our clients. We firmly believe in the DevOps mentality and are looking for Engineers who not only want to build software platforms, but also be involved in the activities necessary to efficiently operate them. We believe that the experiences our applications deliver are critical to the success of our client’s marketing initiatives. The position will help us not only dramatically augment the capacity of our technology platform to deliver experiences at an ever-increasing scale, but also to provide our operators with the tooling needed to onboard and manage a stream of new clients and their needs.,
,
,
As with all of our team members, you’ll be afforded the opportunity to continuously learn, and to practice sharing that expertise with other team members in a variety of structured and informal teaching forums.,
,
,
Qualifications:,
●     A minimum of four years of experience in software development; demonstrating successful design, build, rollout and ongoing delivery of business-critical consumer-facing applications and data pipelines starting from raw business requirements.,
●     Successful experience working in an Agile/Scrum environment.,
●     Ability to provide guidance and mentoring to junior team members.,
●     Experience with languages like Ruby, Python and JavaScript.,
●     Significant professional experience using web application frameworks (Angular, Rails, Sinatra, Django, or Flask are ideal, but others are acceptable also) to build high-traffic websites, applications, and services.,
●     Knowledge of pragmatic engineering practices like iterative releases, test-driven development, continuous integration, and the use of version control systems (Git/GitHub is our primary system, but experience with TFS would be helpful too).,
●     Non-trivial experience with any SQL-based RDBMS (PostgreSQL and SQL*Server experience is especially useful).,
●     Experience with NoSQL data stores (Redis) and asynchronous task processing.,
●     Experience with digital marketing or advertising a plus.,
●     Microservices architecture experience is a plus.,
,
,
Responsibilities:,
●     Building, Delivering, and Operating Our Platforms,
●     Working inside the team and across teams and functions to design and build solutions that best meet our users’ needs and will be easy to operate,
●     Ensuring our applications are following best practices, leveraging technology and frameworks effectively, and are fitting well into our existing platforms,
●     Monitoring our applications and systems and owning responses to incidents,
●     Proactively identifying platform health issues and proposing solutions to improve upon them,
Communicating and Leading Inside the Team and Across the Business,
●     Communicating with other teams, stakeholders, clients, and vendors on technical matters to facilitate implementation,
●     Using structured and effective communication methods to present ideas to the department,
,
Leading and Coaching on Our Team:,
●     Helping coordinate team activities to complete sprint goals,
●     Taking on leadership opportunities: teaching, sharing concepts, coaching others, presenting,
,
,
About the Company:,
As a performance marketing agency, iProspect helps brands uncover new customers and revenue by delivering relevant experiences and connecting data. We’ve built a proprietary technology platform that delivers experiences at each step of a consumer’s journey and collects a rich stream of data to learn what treatments increase the likelihood of a valuable outcome for our clients. We use distributed systems to solve complex compute problems, develop data architectures to support analysis and uncover insights, and use those insights to deliver optimal consumer experiences at scale. Our platform is a high-volume processing system supporting some of the largest companies in the US in ways their internal teams, agencies and IT consultants simply cannot.,
,
,
Perks:,
iProspect is a great place to work. We have competitive pay, a matching 401k package, life & disability insurance as well as bonus potential. We focus on education, training and inclusivity on our teams in our day-to-day work, and by encouraging and financially supporting our employees to attend relevant training and conferences. We have a casual environment and strive to maintain a work/life balance, including flexible work scheduling options and parental leave. We moved into a brand-new office space at 515 N. State in Chicago’s River North at the end of May. The Grand and State Red Line stop is right outside the front door and there are lots of great lunch spots within walking distance.,
,
 ,
,
The real perk of this job is the ability to contribute to a profitable and growing company that strives to give employees the ability to master their craft, increase their skills and be autonomous in their work. We are a small enough division that you can witness and be rewarded for your contributions but are part of large network that allows us to partner with Fortune 100 companies. We support an individual's contribution to the community at large with multiple philanthropic activities and encourage employees to be part of their larger working collective by attending and supporting prominent conferences.,
,
,
What's Next:,
Consider your background, what you know, what you want to learn in your career, and how you feel you fit this position. If you think you would be a good fit, we’d love for you to send us your resume. Links to a personal blog and/or GitHub repository that would help represent the quality of your work are also greatly appreciated but not required.    ",2019-08-01 11:11,full-time
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://chicago.craigslist.org/chc/web/d/chicago-free-tech-training-and-optional/6958642467.html,"
        ,
,    ",2019-08-17 11:08,contract
