text,images,compensation,link,address,date,type
Sr. Software Engineer,,DOE,https://losangeles.craigslist.org/wst/tch/d/santa-monica-sr-software-engineer/6968956126.html,"
        ,



,
    ",2019-08-31 17:54,full-time
Developers Needed (Startup),"https://images.craigslist.org/00R0R_8sftxiCKojl_600x450.jpg,https://images.craigslist.org/00Z0Z_5lnlPHufhH1_600x450.jpg",1-2% Equity,https://losangeles.craigslist.org/lac/sof/d/los-angeles-developers-needed-startup/6952748053.html,"
        ,
STRYD is an early-stage start-up looking for a talented, results-oriented, and passionate developer to join our team! Our developers are building next-gen, game-changing SAAS platforms for event team management.,
,
This is an entry-level position to grow as a software developer with experienced engineers at an exciting new company! You will learn the ins and outs of how our custom CRM, team management app and web portal system works, with the goal of both supporting and contributing to the development of these systems.,
,
As a developer, you will be the focal point for venue and sales team experiences on both mobile and web platforms. You will work closely with senior management to understand business requirements that drive the analysis, design, integration, and development of quality technical solutions. You will be involved in the full systems life cycle and responsible for designing, coding, testing, implementing, maintaining and supporting application software, delivered on time.,
,
,
What You Will Be Doing,
- Work alongside the senior development team to build a fantastic product.,
- Build the foundation and execution for web and mobile back end.,
- Build real-time user interfaces,
- Be attentive to performance using tools to increase stability.,
,
What We're Looking For,
- 2+ Years development experience with web & mobile products,
- Experience in JavaScript, Angular,
- A plus - Experience with Azure, ReactNative, Ionic 3+, .NET / C#,
- Experience with REST APIs,
- Experience working with a team,
- Experience using GitHub,
- Works well in a fast-paced environment,
,
What's In It for You,
- Stock/equity options,
- Periodic team lunches,
- Flexible working hours,
- Exponential room for growth ,
- Start-up culture,
- Mentoring and on-going support ,
* Reminder, this is not a paid position. You will be compensated with equity in the company. Once we close our round of funding this will become a salaried position. ,
,
If you're a team player with a strong Development understanding; looking to get in at the early stages of a disruptive new start-up, then STRYD is the place for you! As a team, we'll replace old customs with a new platform built around speed, reliability, and fairness. Help us reinvent the events industry!,
,
At STRYD we value and respect all our team members, and we love people with grand ideas, passion, and dedication. If this sounds like you, and you're ready to embark on an exciting new journey, then we would love to hear from you today!,
,
*** If you have less experience then required above, but want to join our team, we are also looking for developer interns. Please reply with your resume and explain you are looking for the intern position    ",2019-08-08 21:39,part-time
QA Engineer (Burbank),,D.O.E,https://losangeles.craigslist.org/lac/sof/d/burbank-qa-engineer-burbank/6953068420.html,"
        ,
Our premier client is a top digital/online brands in the entertainment industry. Our Client's business dive deep into the things people care about across entertainment, technology, news, games, business and sports.,
,
Qualifications needed:,
1. Strong knowledge of QA processes and concepts including test case preparation and testing methodologies ,
2. Experience working closely with a development team ,
3. Should be proficient in SQL and scripting complex SQL query. ,
4. Proficient in data migrations, integrations, functional testing ,
5. Strong knowledge of software QA methodologies, tools and processes ,
6. Experience working in an Agile/Scrum development process ,
7. Ability to work in a fast-paced, quickly changing environment ,
8. Strong Analytical skills - Cause and Effect Analysis ,
9. Hands-on experience with automated testing tools like selenium, junit and coding languages is a plus,
,
Preferred Qualifications	,
* BA/BS Degree or equivalent experience,
* Experience functional QA engineer with experience rewriting SQL queries,
* Testing web based applications, writing SQL code,
* Testing tools in Selenium and Junit experience will be required ,
 ,
This a contract position upto 18 months and potentially can extend longer. Please submit resume with hourly rate requirements and NO H1B candidates at this time.    ",2019-08-09 10:29,contract
QA Engineer (Selenium/SQL Exp),,D.O.E,https://losangeles.craigslist.org/wst/sad/d/burbank-qa-engineer-selenium-sql-exp/6953074642.html,"
        ,
QA Engineer with experience with automated testing tools like selenium, junit and coding languages is our choice of candidates. ,
,
Our premier client is a top digital/online brands in the entertainment industry. Our Client's business dive deep into the things people care about across entertainment, technology, news, games, business and sports.,
,
Qualifications needed:,
1. Strong knowledge of QA processes and concepts including test case preparation and testing methodologies ,
2. Experience working closely with a development team ,
3. Should be proficient in SQL and scripting complex SQL query. ,
4. Proficient in data migrations, integrations, functional testing ,
5. Strong knowledge of software QA methodologies, tools and processes ,
6. Experience working in an Agile/Scrum development process ,
7. Ability to work in a fast-paced, quickly changing environment ,
8. Strong Analytical skills - Cause and Effect Analysis ,
9. Hands-on experience with automated testing tools like selenium, junit and coding languages is a plus,
,
Preferred Qualifications	,
* BA/BS Degree or equivalent experience,
* Experience functional QA engineer with experience rewriting SQL queries,
* Testing web based applications, writing SQL code,
* Testing tools in Selenium and Junit experience will be required ,
,
This a contract position upto 18 months and potentially can extend longer. Please submit resume with hourly rate requirements and NO H1B candidates at this time.    ",2019-08-09 10:36,contract
SENIOR DRAFTERS & ARCHITECTS (Glendale Galleria),"https://images.craigslist.org/01414_aMVU8tcrT1v_600x450.jpg,https://images.craigslist.org/00o0o_7XGTlue7XLh_600x450.jpg,https://images.craigslist.org/00303_a1KfF4pnRCa_600x450.jpg,https://images.craigslist.org/00D0D_7d8ndQMf7JD_600x450.jpg,https://images.craigslist.org/00303_gjwE28OZ3Lr_600x450.jpg,https://images.craigslist.org/00W0W_52IsrwbYO0X_600x450.jpg",Competitive Salary + Commission,https://losangeles.craigslist.org/sfv/egr/d/glendale-senior-drafters-architects/6950571496.html,"
        ,
SENIOR DRAFTERS & ARCHITECTS ,
,
Are you a senior drafter or Architect with at least 15 years of experience? We have a great opportunity for you! ,
,
Introducing SKSI PLANS & PERMITS, the first national brand in Architectural plans & building permits. ,
,
SKSI innovated a structure fusing the benefits and pride of being self-employed with security of working for a big company. We give you the most attractive high profile office, promote you, pay competitive wages and give you commissions on customers we supply you with. Your fully equipped high tech office will be inside the front entrance to the GLENDALE GALLERIA, and you will have use of any of our other offices and network of colleagues at 18+ fashion malls throughout the Southeast Region (we are quickly growing nationally). ,
,
Video of an SKSI location: ,
,
LOCATIONS,
,
•	Valley Plaza Mall in Bakersfield,
•	Otay Ranch Town Center in Chula Vista,
•	Glendale Galleria,
•	The Shoppes at Carlsbad in Carlsbad,
•	Galleria at Tyler in Riverside,
•	Visalia Mall in Visalia,
•	Southland Mall in Hayward,
•	Stonestown Mall in San Francisco,
•	Northridge Mall in Northridge,
•	Meadows Mall in Las Vegas ,
,
REQUIREMENTS,
,
•	Min 15 years’ Experience,
•	Drafting of complete construction plan sets (excluding Title 24 and engineering calcs),
•	Drafting MEP's (bonus but not required),
•	Residential: Renovation, Additions, New Construction, ADUs,
•	Commercial: Tenant Improvements, Additions, New Construction,
•	Work with clients,
•	Selling / closing new agreements ,
•	Design sessions,
•	Engineering details,
•	Site Inspections,
•	Permit Expediting / working with building departments,
•	AutoCAD / Revit / Sketchup / Chief Architect,
,
EXPECTATIONS,
,
•	Integrity,
•	Creativity,
•	Completion,
•	Competence,
•	Collaboration,
•	Professionalism,
,
COMPENSATION,
,
•	Salary (competitive based on experience and skill),
•	Commissions,
,
ABOUT SKSI,
,
Video about SKSI: ,
,
SKSI Plans and Permits (SKSI), the first National brand offering construction plans and permit expediting services announced nine new stores in California and Los Vegas for its innovative retail concept chain by the end of the year.,
,
SKSI Plans & Permits provides expert, fast, affordable and extremely accessible construction plans, engineering, Title 24 and permit expediting services for residential & commercial projects. SKSI helps builders, contractors, developers and property owners and managers save money and time without sacrificing quality by expediting planning and permitting for construction and property development. SKSI’s proprietary processes include the use of custom-developed software that streamlines the design and permit processes. ,
,
SKSI makes the process of creating and approving construction plans and permits extraordinary accessible and efficient for contractors, realtors and real estate investors, leasing companies and property managers, business and retail store owners, commercial landlords and homeowners. SKSI’s proprietary processes include the use of custom-developed software that streamlines the design and permit processes. ,
,
CLIENT LIST INCLUDES,
,
•	Homeowners,
•	Leasing & management companies,
•	Brookfield Properties,
•	Westfield Malls,
•	Apple Stores,
•	AMC Theaters,
•	Bloomingdales,
•	Macy’s,
•	Van’s,
•	Starbucks,
•	Victoria’s Secret,
•	Gold’s Gym,
•	Panda Express,
•	… about 500 other top brands    ",2019-08-06 05:09,full-time
Senior Construction Project Manager,,"$90,000 - 100,000 per annum base salary, full health care, performance bonus, flexible working.",https://losangeles.craigslist.org/lac/egr/d/marina-del-rey-senior-construction/6955042849.html,"
        ,
Who are we?,
,
Rooftop Cinema Club was founded in London, England in 2011, and since then we've travelled over to the United States and built alternative outdoor film experience venues on rooftops across New York, California, and Texas.  ,
,
Why do we do what we do?,
,
We believe that all experiences should be memorable, which is why we are on a mission to transform nights at the movies into cinematic events like no other. Driven by our love of film in alternative settings, our Rooftops promise a handpicked curation of cult classics, and new releases. We stand for Social Cinema because we believe it’s the future. Join our movement.,
,
Who we're looking for!,
,
We’re seeking a Senior Project Manager with at least 5 years’ experience in a similar position to come and join our small team. A sound understanding of commercial/retail/hospitality architectural construction and permitting for indoor-outdoor hybrid spaces will be essential to this role. This is a full time role, in a 9am-6pm weekday office setting when not traveling or working remotely on projects. ,
 ,
Your role will be to manage the end-to-end process of venue pitching and acquisition, to structural planning, permitting, to the management and overseeing of a team of architects, design, and production managers, through construction to completion on budget and within timeline scope. We have 8 concurrent projects spaces for 2020-21 that require a highly developed sense of how to plan and co-ordinate project resources and exceptional attention to detail. ,
,
You must be presentable, smart, energetic, and proactive, and enjoy working in a close-knit team. Your base will be in our office working alongside the entire company and your schedule needs to be flexible and will require up to 40% travel in the year. It will also require some late nights and/or weekends coming close to opening. You must be local to Los Angeles.,
 ,
What can we offer you for joining our small but mighty team?,
,
We promise you a warm and enthusiastic environment with great team members who enjoy communicating and innovating together, plenty of creativity, and genuinely enjoy working with one another to build the best outdoor cinema experience possible.,
,
 Compensation,
,
In addition to your base salary of $90-100,000 per annum we offer performance related bonuses, full healthcare, paid time off, and flexible working initiatives.,
 ,
You will be responsible for:,
 ,
- Conducting Site Planning and Compliance – oversee various site due diligence items leading up to acquisition of site.Client Management - meeting with and working with the city and potential landlords/clients to facilitate the agreement of new sites. You will manage all relationships between our business, the site, and all associated clients/people.,
- Permitting/Approvals – ensure timely obtainment of any and all required project permitting and approvals.,
- Developing and Reviewing Building Plans - review drawings, specs, and other project Documents – familiarization of all project documents.,
- Contract Administration – help ensure all contractual and permitting obligations are realized.,
- Project Scheduling – development, implementation, and management.,
- Project Coordination – source key team members per project in different locations (permit teams, architects, construction workers, designers, contractor/subcontractors, sub-consultants, vendors, etc.) Once the project is underway, you will visit our sites to monitor progress, oversee contractor activities, and work to eliminate delays and stay on budget.,
- Risk Management – anticipate and mitigate risks that arise during project execution phase.,
- Budget Development – work with the Real Estate Acquisitions Team to develop capital expenditure budgets for new projects.,
- Project Reporting – produce project specific reports in accordance with project demands and milestones.,
- Project Cost Control – track all committed, pending, and anticipated cost events while maintaining project budget.,
- Cost Event Negotiations – help ensure highest and best value is realized from design and construction professionals.,
- Invoice Review and Processing – review monthly pay apps to ensure all costs are fully substantiated and supported.,
- Quality Control and Assurance – help to ensure excellence in delivered product by ensuring conformance to project documents, company standards and branding.,
 ,
Our ideal Senior Project Manager will possess:,
 ,
* At least 5 of experience in project management for architectural projects, construction management, or similar,
* Drafting and engineering – experience with drafting building plans and blueprints,
* Extensive Project Management skills, with excellent high-level planning skills and understanding of best practices,
* experience with Architecture software (AutoCAD, ArchiCAD, Revit, SketchUP),
* Proficiency with Project management tools (BQE Core, Asana, Deltek Ajera),
* the attitude of a smart team-player.,
* High emotional intelligence with the ability to thrive in fast-paced, dynamic environments.,
    ",2019-08-12 10:15,full-time
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://losangeles.craigslist.org/lac/web/d/los-angeles-free-tech-training-and/6947467443.html,"
        ,
,    ",2019-08-01 15:23,contract
Technical Project Manager,,determined by experience and certifications,https://losangeles.craigslist.org/lac/bus/d/los-angeles-technical-project-manager/6947460965.html,"
        ,
The Technical Project Manager role is a technical leadership position that requires strong technical expertise in the full life cycle desktop development and deployment, including creating project plans, user interface planning, QA, testing and production deployment. The position requires excellent technical writing and communication skills. This role will interface directly with existing clients as well as new and prospective clients. It is expected that much of this role's day-to-day will be spent on-site at clients' offices either interfacing with client technical personnel or directing firm resources towards completion of project milestones. The Company has clients in greater LA and San Diego areas.,
,
Responsibilities:,
• Responsible for maintaining project schedule, milestones and tasks.,
• Documenting policy guidelines for Active Directory Group Policy structure over Desktops and Laptops,
• Documenting policies and procedures for the company desktop imaging solution,
• Participate in the development of long-term strategic goals for company application delivery systems, software and physical end point clients in collaboration with Desktop Infrastructure team members.,
• Document the planning, Implementation, management and support of application delivery systems that enable profile management and management of end user state application information to enhance an end user's productivity and provide an exceptional user experience.,
• Continually improve knowledge of current and latest technologies,
• Provide project milestones timelines for all desktop engineers,
• Coordinate with network engineering, business application, and database administration functions to implement, manage and support desktop/application delivery systems, such as SCCM, AppSense, Active Directory, Citrix XenApp/XenDesktop, Microsoft Terminal Services, etc. that utilize industry best practices to meet corporate objectives.,
• Review procedures, plans and implementation upgrade schedules to enterprise servers, Active Directory servers, desktop patches, network operating systems and LAN/WAN based applications that tie into the desktop image.,
• Review and document the deployment scheduling of new desktop/application delivery systems patches and software updates according to best practices.,
• Leverage existing change and problem management processes and tools to ensure accurate measurements and proper reporting are attainable. Generate monthly metrics / reports for operational review.,
• Work with the team to recommend hardware or software changes needed to optimize desktop delivery system deployments, configuration, or maintenance.,
,
Qualifications:,
• At least 5 years' experience in a technical consulting or project management role.,
• Bachelor's degree or equivalent education in Information Technology, Computer Science, Software Development, or Engineering discipline.,
• 5-7 years' experience implementing, managing and supporting enterprise server based desktop computing platforms,
• Lead technical projects with elapsed time greater that 6-8 months,
• Ability to influence network, server, application and desktop support engineering peers and front line engineering management, service desk personnel and front line service desktop management, front line technical support personnel and management, vendor support personnel and end user,
• Ability to communicate effectively verbally and in writing to all levels of audience, both internal and external,
• Experience supporting large enterprise server based desktop computing environments, > 2,000 clients,
• Extensive knowledge of PC & Mac troubleshooting and network fundamentals,
• Extensive knowledge of Windows 7 operating systems,
• Thorough knowledge of Active Directory,
• 2-3 years' experience managing System Center Configuration Manager,
,
Certifications Preferred:,
• MCSE/MCITP,
• CCNA,
• PMP Certification,
• VMWare EXS (VCP),
,
About the Company:,
We are a technical consulting firm with offices in Los Angeles, San Diego, Omaha, Honolulu and Reno, with the main office in San Jose. We provide on-site tech support for a number of clients in real estate, education, health plans, county agencies and hi-tech industries.,
,
Our company offers 120 hours of PTO annually, company activities for fun and relaxation and 8 holidays per year. Our field staff wears sharp-looking shirts with our company logo and we provide the equipment and supervision needed for individual jobs. There is a large support infrastructure of meetings and conference calls, and company-paid training and certification is both expected and a benefit of employment. Medical, dental, chiropractic and vision benefits are offered after a probationary period of 30 days, with the company paying a fixed portion of the combined benefits. At company expense we offer life and disability insurance coverage. We temper hard work with off-site activities and a holiday event. Technical employees have opportunity for training, at company expense, for a variety of industry certifications.,
,
Initial interviewing for this position will be by telephone, followed by an in-person interview. On acceptance of an offer from the company, the candidate will be sent for live-scan fingerprinting as part of a company-paid state- and federal-level background check.  ,
,
We honor and welcome our veterans and encourage applications from them.,
    ",2019-08-01 15:13,full-time
Android Developer,,TBD,https://losangeles.craigslist.org/wst/sad/d/burbank-android-developer/6947283833.html,"
        ,
*NO REMOTE CANDIDATES WILL BE CONSIDERED, THIS POSITION IS FOR IN OFFICE ONLY,
,
*NO RECRUITERS PLEASE,
,
,
Our team at MOBILE STYLES consists of headphone-slinging and dog walking developers, copywriters, artists, and designers who thrive on communication, openness, and bottomless cups of coffee and dirty chai. ,
,
Responsibilities:,
-	Working with our team of engineers to build and design mobile applications,
-	Bug fixing and improving application performance,
-	Continuously evaluate and implement new technologies to maximize development efficiency.,
,
We're looking for:,
-       Proven working experience in software development,
-       Must have experience in backend maintenance and deployment to be considered,
-       Working knowledge of the general mobile landscape, trends, architectures and emerging technologies,
-       4 years minimum of Java , Android SDK , Android Studio, experience.,
-       Strong OOP experience.,
-       RESTful API development experience.,
-       Experience with Stripe or similar payment SDK,
-       Experience with XML,
-       Experience with responsive UI (Constraint Layout preferred),
-       At least one app in app store,
,
- Bonus points if you have:,
- Android NDK,
- Video/Image processing,
-Push notification,
-Swift experience,
- AWS,
- SQL and relation databases,
- Git,
,
PLEASE USE THE LINK BELOW TO APPLY:,
,
,
    ",2019-08-01 11:38,full-time
IOS Developer,,TBD,https://losangeles.craigslist.org/lac/web/d/burbank-ios-developer/6947284946.html,"
        ,
*NO REMOTE CANDIDATES WILL BE CONSIDERED; THIS POSITION IS FOR IN OFFICE ONLY.,
NO RECRUITERS PLEASE,
,
Our team consists of headphone-slinging and dog walking developers, copywriters, artists, and designers who thrive on communication, openness, and bottomless cups of coffee and dirty chai. We are looking for an IOS Developer with the following criteria:,
,
Responsibilities:,
,
-	Working with our team of engineers to build and design mobile applications,
-	Bug fixing and improving application performance,
-	Continuously evaluate and implement new technologies to maximize development efficiency.,
,
We're looking for:,
,
-	Proven working experience in software development,
-	Must have experience in backend maintenance and deployment to be considered,
-	Working knowledge of the general mobile landscape, trends, architectures and emerging technologies,
-       4 years minimum of Swift, X-Code experience,
-       Strong OOP experience. Knowledge of Java,
-       RESTful API development experience.,
-       Experience with Stripe or similar payment SDK,
-       Ability to build UI without storyboard (in code),
-       Experience with developing responsive UI,
-       At least one app in app store,
,
Bonus points if you have:,
,
-	Video/Image processing,
-	Push notification,
-	Objective-C experience,
-	AWS,
-	SQL and relation databases,
-	Git,
,
PLEASE USE THE LINK BELOW TO APPLY:,
,
,
    ",2019-08-01 11:39,full-time
