text,images,compensation,link,address,date,type
Product Engineer - Repair and Development,,Up to US$0.00 per year,https://newyork.craigslist.org/lgi/egr/d/smithtown-product-engineer-repair-and/6960362300.html,"
        ,

        ,
    ",2019-08-19 20:10,
CIVIL ENGINEERS & Surveyors - All Levels,"https://images.craigslist.org/00q0q_e3jjxRHrFJG_600x450.jpg,https://images.craigslist.org/00S0S_gg3BrssLVpY_600x450.jpg,https://images.craigslist.org/00Y0Y_7FbOIsehvH2_600x450.jpg,https://images.craigslist.org/00V0V_1XwzjcyU0FQ_600x450.jpg,https://images.craigslist.org/01111_aj23sDEOWmN_600x450.jpg,https://images.craigslist.org/00K0K_2pN2wVLEmq0_600x450.jpg,https://images.craigslist.org/00Y0Y_cEpigprK6xc_600x450.jpg,https://images.craigslist.org/00t0t_51D2oDR2mzC_600x450.jpg,https://images.craigslist.org/00a0a_drf409kow45_600x450.jpg,https://images.craigslist.org/00A0A_k6oLYjPcwd5_600x450.jpg,https://images.craigslist.org/00808_gI1l6wPbXIx_600x450.jpg,https://images.craigslist.org/00G0G_jdOW9YQ43na_600x450.jpg,https://images.craigslist.org/00Q0Q_kWW1LPZt9Rt_600x450.jpg,https://images.craigslist.org/00s0s_5ULF13MvOda_600x450.jpg,https://images.craigslist.org/00s0s_4QP14z6XpvA_600x450.jpg,https://images.craigslist.org/00d0d_WSUtQ2ZUsO_600x450.jpg,https://images.craigslist.org/00u0u_eWrZMPd73KC_600x450.jpg","Dependent on experience level; Full time with benefits, healthcare, 401k",https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/6956265334.html,"
        ,
,  ,
 ,  ,  
  ,

We have positions for: Civil CAD Designer, Civil Project Engineer, Licensed Civil Engineer, Civil Project Manager, Structural Engineer and Land Surveyor  , ,

Positions open for types of project disciplines: Land Development / Site Development, Transportation Engineering, Water Resources, Structural Engineering and Land Surveying  , ,

For CONFIDENTIAL CONSIDERATION: ,
Email your resume to: jobs@trabucogroup.com 
, ,
For full list of Engineering positions, visit us at: ,

,

 KEYWORDS: civil engineering, site development, land development, grading, drainage, storwmwater, SWPPP, paving, striping, traffic control, transportation, signal, signage, railway, highway design, roadway, water, wastewater, hydrology, hydraulics, earthwork, utility design, water resources, wastewater, Autocad, Civil 3D,  REVIT, StaadPro, Microstation, inroads, ArcGIS, surveying, topos, geotechnical, geotech, GIS, structural, ASCE, EIT, PE, TE, survey, surveying, topos, boundaries, ALTA maps, legal description and plats, Appraisal Maps, Records of Survey, topography, photogrammetry, boundary surveys, construction staking, topcon, leica, carlson subdivision mapping, total station, PLS, RPLS, LSIT, SIT
    ",2019-08-14 03:01,full-time
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://newyork.craigslist.org/brk/web/d/brooklyn-free-tech-training-and/6959886173.html,"
        ,
,    ",2019-08-19 11:10,contract
Career Opportunities in Engineering for Immigrant Professionals,,Free Trainings with Job Placement Assistant,https://newyork.craigslist.org/mnh/egr/d/new-york-city-career-opportunities-in/6946473667.html,"
        ,
The Cooper Union Retraining Program for Immigrant Engineers at CAMBA assists highly skilled immigrant professionals who are underemployed or unemployed gain access to higher paying jobs through training and job placement assistance. The program includes courses in information technology and mechanical, electrical and civil engineering. Courses are scheduled around the needs of working professionals and offered evenings and weekends. ,
Since its inception in 1987, the Retraining Program helped connect more than 4,000 immigrant professionals to science, technology and engineering jobs. ,
ALL SERVICES ARE FREE,
Engineering Classes includes:,
,
OSHA 30,
Green Building Guidelines & Environmental Safety,
Building Operation, Maintenance & Safety Regulation,
Heating, Ventilation, Air-Condition and Safety Regulation (HVAC),
National Electrical Code (NEC) and Its Applications,
AISC Structural Steel Design,
ACI Structural Concrete Design,
Introduction to AutoCAD for Engineers,
Advanced AutoCAD and Revit,
Building Cost Estimating and Bridge, Highway, Railroad Engineering,
,
Information Technology classes includes: ,
- Cyber Security,
- Data Architecture Principles, Data Structure and SQL,
- Java Programming,
- Microsoft .NET and C#,
- Software Quality Assurance—Manual Testing,
- Software Quality Assurance—Automated Testing,
- Linux (UNIX) Administration,
- Android Software Development,
,
,
To be considered for the program applicants must:,
,
•Be born outside of the United States,
•Be authorized to work in the United States,
•Have a bachelor's degree or higher and professional experience in the field of engineering, information technology, or a related field from the country of origin (not from US),
•Have lived in the U.S. less than five full years. (Exceptions for those in the U.S. more than five years may be made on a case-by-case basis),
•Be unemployed, underemployed, or working in a field not related to your education,
•Have intermediate+ English fluency,
•Demonstrate a financial need,
•Be highly motivated to pursue professional job search,
,
Please, see our web site for more information and application instructions:  www.cooper.edu/immigrant-retraining  ,
,
    ",2019-07-31 13:15,full-time
Healthcare startup seeks entry level java developer,,competitive,https://newyork.craigslist.org/mnh/sof/d/new-york-healthcare-startup-seeks-entry/6960662416.html,"
        ,
Archway  Health’s mission is to fix healthcare through payment reform. Archway is a leader in developing and implementing value-based  care programs in partnership with providers, employers and payers across  the country. We do this through a mix of great people who are  passionate about improving healthcare, sophisticated data analytics  tools that drive our unique insights, and easy to use software designed  to help patients get better as quickly and safely as possible. We work  with specialty providers in all types of clinical areas – oncology,  orthopedics, cardiology, pulmonology, obstetrics, hospital care, and  post-acute care – all of whom are experiencing real success with  improving outcomes and the patient experience while also dramatically reducing healthcare costs.,
,
Archway Health is looking for a New York City based Software Engineer to help us build our analytics products and care management solutions.  In this role, you will  leverage your strong software development and engineering skills to develop applications that help our clients improve the quality and lower the costs of healthcare.  You should have software development and agile project execution experience; be analytical and an excellent communicator. ,
,
 Qualifications:,
,
Proven 2+ years’ experience as a software engineer.  Recent college grads with internship experience will also be considered.,
,
Experience  with SQL queries and optimization techniques for at least one DBMS  platform (e.g. MySQL, Microsoft SQL Server, Oracle etc.) ,
Proven abilities to take initiative and be innovative ,
Analytical mind with a problem-solving aptitude ,
BSc/BA in Computer Science or Computer Engineering required ,
Passion for improving the healthcare system and working for an entrepreneurial startup,
Must be able to analyze / synthesize data  and communicate issues, findings, processes, solutions and ideas in a  clear, concise, technically-proficient and consultative manner.,
,
  Benefits:,
Archway Health offers an open, collaborative work environments in New York City and Boston We have regular team events, training programs  and generous benefits that include medical, dental, vision coverage, a  401(k) with match and a generous vacation policy,
,
To Apply:,
Share with us why you like the idea of working with us.,
Please send a resume.,
,
    ",2019-08-20 11:08,full-time
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://newyork.craigslist.org/brk/web/d/brooklyn-free-tech-training-and/6947469193.html,"
        ,
,    ",2019-08-01 18:25,contract
"Free Tech Training and Optional Job Placement  - Make 80,000 - 120,000 per year,",,"70,000 to 100,000",https://newyork.craigslist.org/brx/web/d/bronx-free-tech-training-and-optional/6954236592.html,"
        ,
,    ",2019-08-11 09:18,contract
INTERMEDIATE PROJECT ARCHITECT,"https://images.craigslist.org/00j0j_ctv8IY2B9M9_600x450.jpg,https://images.craigslist.org/00707_2ohiyJZd4NU_600x450.jpg,https://images.craigslist.org/00R0R_3x7GTRi5u4s_600x450.jpg,https://images.craigslist.org/00g0g_5muTB0fTtyo_600x450.jpg,https://images.craigslist.org/00505_b1sgX3jtE3k_600x450.jpg",Salary plus healthcare benefits,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-project/6947104354.html,"
        ,
For 27 years, Joseph Vance Architects has been designing high end, custom residential projects - brownstone/townhouse gut renovations, lofts, rooftop additions and conversions of manufacturing buildings to residential. We are a small group of creative problem solvers with a taste for well-crafted design. We value hard work to continuously grow and evolve, pushing boundaries until a project is the best it can be.,
,
Current projects include a ground up new 6 story townhouse in the Upper West Side (with a new basketball court beneath), a gut renovation of a townhouse in Chelsea including a totally new facade, a 6,000sf triplex in a new West Village development, and others.,
,
We are currently seeking an Intermediate Project Architect to join our ranks.,
,
As a member of our team, you will manage your own projects under the direction of the principal, and with the support of the office as needed to help meet deadlines. The format of our firm is such that everyone is expected to run his/her own jobs - generating designs, presentations and drawings, researching codes, managing schedules, and coordinating with clients, contractors, expeditors, city agencies, vendors, consultants, etc. throughout the entire process of the project from initial client meetings to punch-list closeout. The nature of our business requires immense organization, efficiency, and commitment, but we also maintain a very stable work/life balance.,
,
Ideally you have experience in residential architecture in NYC, some knowledge of NYC DOB and LPC, have worked with 3D modeling/BIM software and the adobe creative suite. We also expect you to have a great design sensibility and critical thinking skills, along with 4-8 years of professional experience.,
,
If this sounds like you, then please submit a pdf of your cover letter, resume, and work sample. This is a full time salaried position with medical coverage (no part-time or freelance work). We look forward to hearing from you and appreciate your interest in our firm!,
,
This is a full time salaried position with benefits (no part-time or freelance positions). Qualified candidates are currently living in the tri-state area and should submit a resume, work samples and salary requirements via .pdf.,
    ",2019-08-01 11:22,full-time
INTERMEDIATE PROJECT ARCHITECT,"https://images.craigslist.org/00j0j_ctv8IY2B9M9_600x450.jpg,https://images.craigslist.org/00707_2ohiyJZd4NU_600x450.jpg,https://images.craigslist.org/00R0R_3x7GTRi5u4s_600x450.jpg,https://images.craigslist.org/00g0g_5muTB0fTtyo_600x450.jpg,https://images.craigslist.org/00505_b1sgX3jtE3k_600x450.jpg",Salary plus healthcare benefits,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-project/6952891884.html,"
        ,
For 27 years, Joseph Vance Architects has been designing high end, custom residential projects - brownstone/townhouse gut renovations, lofts, rooftop additions and conversions of manufacturing buildings to residential. We are a small group of creative problem solvers with a taste for well-crafted design. We value hard work to continuously grow and evolve, pushing boundaries until a project is the best it can be.,
,
Current projects include a ground up new 6 story townhouse in the Upper West Side (with a new basketball court beneath), a gut renovation of a townhouse in Chelsea including a totally new facade, a 6,000sf triplex in a new West Village development, and others.,
,
We are currently seeking an Intermediate Project Architect to join our ranks.,
,
As a member of our team, you will manage your own projects under the direction of the principal, and with the support of the office as needed to help meet deadlines. The format of our firm is such that everyone is expected to run his/her own jobs - generating designs, presentations and drawings, researching codes, managing schedules, and coordinating with clients, contractors, expeditors, city agencies, vendors, consultants, etc. throughout the entire process of the project from initial client meetings to punch-list closeout. The nature of our business requires immense organization, efficiency, and commitment, but we also maintain a very stable work/life balance.,
,
Ideally you have experience in residential architecture in NYC, some knowledge of NYC DOB and LPC, have worked with 3D modeling/BIM software and the adobe creative suite. We also expect you to have a great design sensibility and critical thinking skills, along with 4-8 years of professional experience.,
,
If this sounds like you, then please submit a pdf of your cover letter, resume, and work sample. This is a full time salaried position with medical coverage (no part-time or freelance work). We look forward to hearing from you and appreciate your interest in our firm!,
,
This is a full time salaried position with benefits (no part-time or freelance positions). Qualified candidates are currently living in the tri-state area and should submit a resume, work samples and salary requirements via .pdf.,
    ",2019-08-09 10:20,full-time
Career Opportunities in IT for Immigrant Professionals,,Free Trainings with Job Placement Services,https://newyork.craigslist.org/mnh/sof/d/new-york-city-career-opportunities-in/6946472833.html,"
        ,
Career Opportunity in IT, Technology for Immigrant Professionals: The Cooper Union Retraining Program for Immigrant Engineers @ CAMBA  assists immigrant Engineers and IT Professionals who are underemployed or unemployed gain access to higher paying jobs through training and job placement assistance. The program includes courses in information technology and mechanical, electrical and civil engineering taught by Cooper Union faculty and field experts.  All services are free and admission is competitive. ,
Classes Available:,
Information Technology: ,
- Cyber Security,
- Data Architecture Principles, Data Structure and SQL,
- Java Programming,
- Microsoft .NET and C#,
- Software Quality Assurance—Manual Testing,
- Software Quality Assurance—Automated Testing,
- Linux (UNIX) Administration,
- Android Software Development,
,
,
Engineering: ,
- OSHA 30 for Construction ,
- Heating, Ventilation, Air-Condition & Refrigeration,
- Building Operation, Maintenance & Safety Regulations,
- National Electrical Code (NEC) & its applications,
- Bridge, Highway, Tunnels and Buildings: Professional Practice for Cost Estimating,
- Green Building Guidelines & Environmental Safety,
- AISC Structural Steel Design ,
- ACI Structural Concrete Design,
- AutoCAD and Revit,
,
Eligibility Requirements:,
- Be born outside of the United States and be authorized to work in the United States,
- Have a bachelor's degree or higher and professional experience in the field of engineering, information technology, or a related field from the country of origin (not from U.S),
- Have lived in the U.S. less than five full years,
- Be unemployed, underemployed, or working in a field not related to your education,
- Have intermediate+ English fluency,
- Demonstrate a financial need,
- Be highly motivated to pursue professional job search,
,
You can learn more about us and apply here:  www.cooper.edu/immigrant-retraining. ,
,
    ",2019-07-31 13:14,full-time
5 Axis CNC Programmer,,$40+ per hour based on experience,https://newyork.craigslist.org/jsy/mnu/d/denver-5-axis-cnc-programmer/6946832021.html,"
        ,
Primus Aerospace, founded in 1989, an AS9100/ISO9001 certified employer located in Lakewood, Colorado (Denver West) is a rapidly growing company with significant opportunities for advancement.  Primus Aerospace specializes in high-complexity machining, assembly and integration services for the Aerospace, Defense and Space industries.  We support the majority of prime defense contractors and commercial aerospace companies across the industry.  We are seeking long-term employees who desire to advance their career, further develop their skills and support multi-year contracts with our customer base.  ,
,
We have grown by 22% last year and are continuing to grow. We currently have an exciting opportunity for a 5 Axis CNC Programmer. The CNC (5-7-9 Axis) Programmer programs components and tools from customer provided materials or drawings. The Programmer is responsible for creation and revision of CNC programs for various multi-axis, horizontal and vertical machines, mills, lathes and other equipment. The Programmer supports current production and prototype projects while maintaining quality and safety standards. As a member of the Engineering team, the CNC Programmer will work with process engineers, operations, quality and procurement as well as customers and vendors to develop the most efficient manufacturing process possible.,
,
Requirements,
• Write programs on three, four and five axis machines in the language of the machine’s controller and save programs on company systems,
• Analyze job orders, drawing, blueprints and specifications and design data to calculate dimensions, tool selections, machine speeds and feed rates,
• Determine the sequence of machine operations and select the proper cutting tools needed to machine workpieces, develops proves development,
• Write instruction sheets/routers for a machine’s controller to guide setup ,
• Develop setup work instructions and trains operators,
• Revise programs to eliminate errors and retest programs to check that problems have been solved,
• Utilize computer aided manufacturing (CAM) software to produce or develop programs ,
• Check completed programs by running simulations or tests,
• Consult with engineering personnel in preparing and finalizing programs,
• Simplify tooling time for workers to increase productivity and run times,
• Monitor all programs to ensure they follow blueprint instructions and safety policies,
• Follow established processes and quality and safety standards,
• Participate in LEAN manufacturing activities,
• Perform preventative maintenance or minor repairs on machines,
• Maintain knowledge of industry processes and tool information,
,
Knowledge/Skills/Abilities,
• At least fixe (5) years’ experience programming complex parts for both vertical and horizonal machining centers utilizing 4th and 5th axis machining ,
• Fluent in one or more of the following: MasterCam X9/X10, CATIA, Part Maker, Vericut/OptiPath and Solid Works ,
• Thorough knowledge and understanding of Geometric Dimensioning and Tolerancing (GD&T),
• Previous experience working with Haas machines lathes and mills , Mazak Horizontals , Dmu 5 axis machines etc. is a plus ,
• Ability to setup and run jobs,
• Strong acumen of process development ,
• Ability to design fixturing,
• Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods,
• Basic to intermediate shop math,
• Ability to use reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems and implement solutions,
• Exceptional problem-solving, organizational and analytical skills,
• Solid customer service skills. Ability to communicate complex ideas in an easy to understand fashion,
• Lean manufacturing and continuous improvement background,
• Ability to work independently yet collaboratively in a team environment ,
• Excellent oral and written communication skills with the ability to communicate with all levels of management and team members,
• Proficient in Microsoft office suite ,
• AS9100 and ISO9001 work experience a plus,
• Ability to stand for long periods of time if needed,
• Ability to follow PRIMUS core values,
,
Education,
• Bachelor’s degree in mechanical or manufacturing engineering, or machine tool technology or related field or programming certification with at least 7 years’ experience programming,
,
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.,
,
To apply click this link: , or email your resume to employment@primusaero.com,
,
We offer the following to all employees:,
• On-the-job training education assistance,
• Medical, dental and vision insurance ,
• Basic Life/AD&D insurance paid by the company,
• Short-term and long-term disability plans,
• Company paid Employee Assistance Program (EAP),
• Paid vacation ,
• Nine (9) paid holidays per year,
• 401K with company match,
• Advancement opportunities,
• Positive work environment and great west side location,
,
Primus Aerospace is an Equal Opportunity Employer (EOE) employer and does not discriminate on the basis of race, color, national origin, religion, gender, age, veteran status, political affiliation, sexual orientation, marital status or disability (in compliance with the Americans with Disabilities Act) with respect to employment opportunities.,
    ",2019-07-31 21:00,full-time
