text,images,compensation,link,address,date,type
Software Engineer - Embedded Linux,,DOE,https://sandiego.craigslist.org/csd/egr/d/san-diego-software-engineer-embedded/6968085459.html,"
        ,
Software Engineer – Embedded Linux,
,
SeeScan is currently seeking an experienced software engineer to work on cutting edge software for our plumbing diagnostic and utility locating equipment. In this position, you will work on a team of engineers to develop new features and improve existing software, ensuring our customers receive top-of-the-line products we’re known for.,
,
Our ideal candidate is a self-starter with a sharp eye for detail and ability to stay flexible as requirements change. This is an exciting opportunity for someone who wants to create innovative solutions to real-world problems. A person who is eager to work on a team that regularly pushes the envelope of its technical capabilities will thrive in this position.,
,
Responsibilities,
,
•	Design and implement software of embedded devices and systems, spanning from requirements to production and commercial deployment.,
•	Test and debug system software.,
•	Integrate and validate new product designs.,
•	Participate in design reviews.,
•	Stay current with latest best practices, and identify opportunities for technology, tool, and process improvement.,
,
Qualifications,
,
•	Highly proficient in Linux.,
•	Experience building embedded software in a team environment.,
•	Thorough knowledge of OS coding techniques, IP protocols, interfaces, and hardware subsystems.,
•	Familiarity with software configuration management tools, defect tracking tools, and peer review.,
•	Strong documentation and writing skills.,
•	Capable of changing course quickly in a fast-paced development environment.,
,
Other Helpful Skills,
,
•	Experience building IoT devices including a thorough understanding of full stack technologies.,
•	Experience working with Yocto.,
,
Education and Experience,
,
•	BS degree in computer science, computer engineering, or similar with relevant experience.,
•	2 years’ experience in hands-on development and troubleshooting using Linux on embedded systems.,
,
If this application is of interest, please apply online at ,. In your application, please include your resume and a thoughtful cover letter explaining why you are the ideal candidate for this position. We are looking for a long-term, in-house teammate to join us, not a contractor or consultant.,
,
About SeeScan,
,
Modern life depends on the infrastructure that brings water, wastewater, electricity, gas, and communications to our homes and businesses. SeeScan’s mission is to deliver best-of-class products that protect these vital services. We are an original equipment manufacturer in San Diego, CA that builds diagnostic and utility locating equipment from the ground up, from initial product conception to prototyping, testing, and final assembly.,
,
At SeeScan, you’ll be part of a group of people who bring passion and energy into everything they do. We value the individual contributions all of our employees make, and invest in the tools and training they need to find success and professional growth. We do our best to empower the right people to take on new opportunities, and our culture promotes transparency, integrity, and continuous learning.,
,
Visit us at www.SeeScan.com to learn more about why SeeScan is a great place to work!,
,
Notes,
,
•	No recruiters, contractors, or consultants, please.,
•	No relocation assistance or visa sponsorships available for this position.,
•	SeeScan is an Equal Opportunity Employer.,
,
    ",2019-08-30 12:19,full-time
CIVIL ENGINEER & Surveyors - All Levels,"https://images.craigslist.org/00q0q_e3jjxRHrFJG_600x450.jpg,https://images.craigslist.org/00808_gI1l6wPbXIx_600x450.jpg,https://images.craigslist.org/00g0g_kU2K4cAi2Xv_600x450.jpg,https://images.craigslist.org/01111_aj23sDEOWmN_600x450.jpg,https://images.craigslist.org/00N0N_iTQ1cFxkZwe_600x450.jpg,https://images.craigslist.org/00S0S_gg3BrssLVpY_600x450.jpg,https://images.craigslist.org/00Y0Y_7FbOIsehvH2_600x450.jpg,https://images.craigslist.org/00909_4npqDFanL7x_600x450.jpg,https://images.craigslist.org/00y0y_5SjTJpJNoEt_600x450.jpg,https://images.craigslist.org/00J0J_cDVRVFQ1Jk8_600x450.jpg,https://images.craigslist.org/01717_5OlyBmkOBuF_600x450.jpg,https://images.craigslist.org/00G0G_jdOW9YQ43na_600x450.jpg,https://images.craigslist.org/00p0p_3qJZnXkVFoz_600x450.jpg,https://images.craigslist.org/00Y0Y_cEpigprK6xc_600x450.jpg,https://images.craigslist.org/00A0A_k6oLYjPcwd5_600x450.jpg","Dependent on experience; Full time w/ benefits, healthcare, 401k",https://sandiego.craigslist.org/csd/egr/d/san-diego-civil-engineer-surveyors-all/6956260438.html,"
        ,
,  ,
 ,  ,  
  ,

We have positions for: Civil CAD Designer, Civil Project Engineer, Licensed Civil Engineer, Civil Project Manager, Land Surveyor   , ,

Positions open for types of project disciplines: Land Development / Site Development, Traffic / Transportation Engineering and Water Resources, Land Surveying   , ,

For CONFIDENTIAL CONSIDERATION: ,
Email your resume to: jobs@trabucogroup.com 
, ,
For full list of Engineering positions, visit us at: ,

,

KEYWORDS: civil engineering, site development, land development, grading, drainage, storwmwater, SWPPP, paving, striping, traffic control, transportation, signal, signage, railway, highway design, roadway, water, wastewater, hydrology, hydraulics, earthwork, utility design, water resources, wastewater, Autocad, Civil 3D, Microstation, inroads, ArcGIS, surveying, party chief, crew chief, robotic total station, leica, carlson,  topcon, topos, geotechnical, geotech, GIS, structural, ASCE, EIT, PE, TE


    ",2019-08-13 23:20,full-time
Manufacturing Technician,"https://images.craigslist.org/00A0A_6eEeKciRnnV_600x450.jpg,https://images.craigslist.org/00X0X_9ZMoEnsYyx1_600x450.jpg,https://images.craigslist.org/00W0W_hhvJn6asYhh_600x450.jpg",$17-$21,https://sandiego.craigslist.org/nsd/mnu/d/san-diego-manufacturing-technician/6966668944.html,"
        ,
POSITION IS A 12-18 MONTH CONTRACT!! Not a long term opportunity.,
,
Builds and tests laser sub-system prototypes and validates manufacturing processes.  Sub-system assembly, optical alignment, functional test, equipment calibration, station setup and process development support.  Recommend changes in design, methods, and procedures to enhance product quality.,
•	Uses standardized tools and electronic equipment (i.e., torque wrenches, electric and pneumatic screwdrivers and ball drivers, lifting equipment, computers, oscilloscopes) to assemble/install/remove or perform testing and troubleshooting. ,
•	Solders small wires under microscope,
•	Trains others on areas of test processes and troubleshooting when required.,
•	Performs a variety of moderately complex technical service/support duties requiring specialized knowledge (i.e., sub-assembly, assembly, build, test, R&D, QA).,
•	Utilizes functional area databases to run reports and analyze/trend data; Makes recommendations to management in order to meet production needs.,
•	Interfaces with engineers to support special tests and experiments with detailed instructions.,
•	Documents and monitors safety or security violations critical to product quality or operations.,
•	Uses specialized test equipment such as leak testing, Hi - Pot and alignment instruments. ,
•	Pressurizes Gas, and Water systems with Helium and troubleshoot failures.,
•	Reads and understands business documents such as Bill of Materials, routing sheets, inventory records and work instructions.,
•	Applies labels to panels, modules, and doors to cleanliness and workmanship standards.,
•	Uses cleaning cloths with Acetone, Methanol, and Isopropyl alcohol to wipe surfaces prior to shipping product.,
•	Maintains a clean work area, and is responsible for designated tools (routine maintenance and calibration).,
•	Installs electrical connectors to modules.,
•	Performs other duties as assigned.,
•	Excellent written and verbal communication skills.,
•	Ability to translate, statistically analyze data, and effectively report problems through written and/or graphical formats.,
•	Excellent customer service skills, with an advanced understanding of customer relationship building.,
•	Ability to use MS Word, Excel, PowerPoint, and electronic e-mail systems.,
•	Ability to read and interpret schematics/drawings. ,
•	Basic understanding of laser systems is required.,
•	Ability to apply advanced knowledge of Company policies and technical skills in support of multiple products, services and components.,
•	Strong electrical/ electronic background.,
•	Ability to troubleshoot, identify and correct problems in complex software-driven electronic systems, (not circuit-board troubleshooting).,
•	Familiarity with cleanroom protocol is preferred.,
•	Ability to calculate figures and amounts such as proportions, percentages, basic algebra.,
•	Full to advanced proficiency with a wide variety of tools and equipment (e.g., oscilloscopes, voltage and current probes, multi-meters, chart recorders,  and Helium Sniffers).,
Knowledge base generally requires AS or related degree.  Requires minimum of six (6) years of experience; may have fewer years of experience with a Bachelor's degree.,
•	Requires a High School Diploma or equivalent.,
•	Associate's Degree in technical or scientific field is highly desired.,
•	Experience in using all electronic/pneumatic tools.,
PHYSICAL DEMANDS AND WORK ENVIRONMENT,
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.,
•	While performing the duties of this job, the employee routinely is required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.,
•	The employee is occasionally required to move around the campus. ,
•	The employee may occasionally lift and/or move up to 50 pounds.,
•	May require travel dependent on business needs.,
•	Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.,
•	Can work under deadlines.,
•	The environment generally is moderate in temperature and noise level.,
•	Must wear disposable rubber gloves for entire duration of shift.,
•	Wearing of eye protection in manufacturing areas is required.,
•	Must be able to read and interpret data, information, and documents.,
•	Can observe and respond to people and situations and interact with others encountered in the course of work. ,
•	Can learn and apply new information or skills.,
,
    ",2019-08-28 12:20,contract
Digital Electrical Engineer,,depending upon expertise and experience,https://sandiego.craigslist.org/nsd/tch/d/vista-digital-electrical-engineer/6958770660.html,"
        ,
Raveon Technologies is a small High-Tech company doing RF product development and is a manufacturing firm that provides wireless solutions to OEMs as well as marketing its own brand of data communication and GPS tracking products. See our products at www.raveon.com.  Our GPS tracking products are shown here:  www.ravtrack.com and   ,
,
We undergo design efforts to continue our role as a leader in the RF Modem industry,
•	SCADA and telemetry remote terminal units with wireless access,
•	Innovating on our already industry-leading GPS tracking technologies,
•	Applying our efficient protocols and networking knowledge to design and build new IoT devices and gateways. ,
•	Design new long-range narrow-band RF radios for secure and remote data communications. ,
,
Position available:,
A position is available for a Hardware and Software Engineer to join the Engineering Team. The successful candidate will be a self-motivated engineer with knowledge of :,
    Embedded C code, Hardware design, CPUs, Voltage Regulators, Analog circuits, digital circuits, Mechanical Design ,
,
This person can work in a self-guided agile development environment and thrives on overcoming challenges.,
,
Our Engineers take over a large variety of responsibility.  You will design new products and help update previous products with new features. Sometimes engineers work on improving previous features, both software and hardware.  ,
,
In addition to superior software development knowledge, you should have a good understanding of electronics. It is expected that you will learn some concepts of RF communication and learn RF hardware circuit design. As such you will need to be a fast-learner, articulate and a good communicator. We do business with the DOD; therefore you must be a US citizen.,
,
Responsibilities include:,
•	Software development for our products and Apps we sell. ,
•	Hardware development. Schematic design. Researching and finding great components. ,
•	System testing design and implementing new features and hardware options. ,
•	Software documentation and writing user manuals for products you work on,
•	Assisting sales personnel with technical issues as needed ,
,
Candidate must have these skills, or please do not apply:,
•	Writing documentation in English. ,
•	Writing and compiling C  code. ,
•	Embedded CPU hardware design and software development. ,
•	Self-motivation and taking initiative. High functioning personality.,
•	Enjoys engineering and product development. ,
,
Our other Desired Engineering Experience. If you have that will be great for us to utilize:,
•	3+ years of software engineering is desired, but college graduate with experience is OK. ,
•	C++ especially with a focus on web, networking, and Linux OS.,
•	CAD design for simulation and drawing designs. ,
,
These technologies are not mandatory, but,
if you have any of the following knowledge, that will help of and make it more likely we want to hire you:,
•	Embedded C code for ARM processors ,
•	Linux Operating system expert. ,
•	LoRa RF communications technology,
•	Attractive and functional user interface design,
•	Design involving IP networking,
•	FreeRTOS operating system expertise. ,
•	Visual Basic ,
•	.NET software (C++ or VB),
•	RF circuit design. RF data communications. ,
•	SCADA, MODBUS, DNP3 protocols. ,
•	TCPIP Data communications and software in STM32 processors. ,
•	Electronic test equipment,
•	Military wireless communications.,
•	GIS and mapping technologies,
•	SCADA system design and terminology,
•	Technical sales,
,
If this opportunity excites you, please email a response with information about your expertise and career goals.,
    ",2019-08-17 11:32,full-time
.NET Developer,,competitive,https://sandiego.craigslist.org/csd/sof/d/rancho-santa-fe-net-developer/6948277461.html,"
        ,
***Please, no third parties***,
***Only Southern California candidates will be considered***,
,
,
,
This is a contract/contract-to-hire opportunity for a .NET Developer at an industry leading company. The Software Engineer will be responsible for new development on next generation enterprise web and mobile applications, as well as occasional maintenance and enhancements of existing applications and legacy. Technologies include, but are not limited to: .NET 3.5/4.0/4.5, ASP.NET, MVC, .NET Core, Microservices, WebAPI, Angular, jQuery, VB.NET, C#, SQL Server 2005/2008, Azure/cloud, DHTML, JavaScript, CSS, HTML5, and Classic ASP.  A highly skilled Developer is desired to make an immediate and lasting impact on the core systems of this nationwide organization. This is a fun and flexible work environment and a chance to collaborate with a talented team.,
,
Skills and Requirements:,
- 5+ years of experience of .NET web development experience leveraging ASP.NET, C#/VB.NET, and related experience.,
- 5+ years of experience developing with SQL Server including writing SQL stored procedures.,
- Advanced level skills with jQuery and/or JavaScript experience.,
- Production experience with .NET Core and WebAPI.,
- Strong analytical and communication skills.,
,
Preferred Skills:,
- Bachelors or Masters Degree in Computer Science or related field is preferred.,
- Experience developing Microservices is preferred.,
- Knowledge of various design patterns a plus such as CQS, CQRS, etc.,
- MVC, cloud development, Agile/Scrum, SSRS, and Bootstrap are all preferred.,
,
,
,
tags: software engineer, sw engineer, programmer analyst, web application developer, web applications developer, web developer     ",2019-08-02 16:35,full-time
Project Manager/Engineer of Millwork,,$20-$30 hour depending on experience.  Room to increase quickly.,https://sandiego.craigslist.org/csd/lab/d/san-diego-project-manager-engineer-of/6955147709.html,"
        ,
Project Manager/Engineer,
,
In this position you will lead a team responsible for numerous construction millwork jobs from pre-construction through final punch lists.,
,
The ideal candidate will be responsible for planning, coordinating, and implementing projects within the decided-upon budget, timeline, and scope. This team member will also effectively monitor and present project updates to relevant clients, or project team members. ,
,
,
Responsibilities,
,
Set project timelines and manpower to insure timely and accurate completion of all jobs,
Identify and focus on critical issues related to the build,
Monitor/verify project deliverable's,
Update relevant team members on the project progress,
Coach and support project team members with tasks you assign them,
Review labor hours with supervisors,
Review architectural drawing and shop drawings; provide input,
Review drawings with contractor to verify all dimensions prior to fabrication,
Monitor shop fabrication/production with Shop Production Manager,
Review/order/receive/organize samples,
Update project spreadsheets,
Coordinate project resources,
Work with Team members to identify, source, and manage materials,
Identify and communicate project challenges and brainstorm solutions with other departments,
Coordinate all change orders into project timeline,
Run weekly team and safety meetings,
,
,
Qualifications,
,
Bachelor's Degree or equivalent professional experience,
Minimum 4-6 years millwork experience or related,
2+ years managing professional commercial projects,
Must have prior experience in project coordination, contracts, design process, construction timelines, building codes, project development and management,
Design / Build and/or Fabrication experience,
Knowledge of fabrication and install,
Strong business acumen in project planning and management,
Proficient in BlueBeam and the ability to read and interpret plan specifications,
Must demonstrate excellent organization and decision-making skills,
Must be willing to work some long hours or weekends if job crunch time is required,
Experience in Excel and other Microsoft software,
Strong verbal, written, and organizational skills,
Ability to manage and assign priorities to multiple projects,
OSHA 10 or 30 preferred,
,
We are looking for that perfect team member to show us what you have.  Salary will increase accordingly.,
If you think you have what it takes then email us your resume and cover letter.,
    ",2019-08-12 12:08,full-time
Project Manager,,Competitive compensation with exceptional benefits,https://sandiego.craigslist.org/nsd/egr/d/carlsbad-project-manager/6956105060.html,"
        ,
Ruhnau Clarke Architects is currently in a growth mode and we are looking for employees who are driven and love a challenge.  We currently have a position available in our Carlsbad office for a Project Manager. We are architects specializing in K-12 and higher educational facilities, public use projects, medical facilities and retail projects.  Ruhnau Clarke Architects offers excellent benefits and compensation commensurate with experience. ,
,
Talent Summary:,
A Project Manager for Ruhnau Clarke Architects is a key position in the firm and is considered a critical position in managing all phases of a project from schematic design through construction and project closeout.  As the primary day to day contact to the client and governing agencies, a Project Manager has the primary responsibility for assisting in the development and monitoring of the project scope budget, project schedule, and planning of a project as well as lead the design team in the development of the design documents (drawings and specifications) on a given project. Project Managers are to be critical observers in assessing and coordinating with the Principal in Charge any potential changes in project scope, service, and/or potential project risks.,
,
Minimum Requirements:,
•	Education:  Architectural degree from an accredited university or equivalent demonstrated proficiency.,
•	Experience:  Minimum of 7 years’ experience in production and coordination of design documents in all phases of an architectural project; minimum 5-8 years coordinating with state, county, and local governing agencies that have oversight on a project, DSA experience preferred;  Architectural License strongly recommended.,
•	Software: Microsoft Office Suite Products (Outlook, Word, Excel, PowerPoint, Project, etc.) or demonstrated equivalent and proficiency; AutoCAD & Revit production software, and Bluebeam.,
,
Expectations:,
•	Establish productive working relationships, and listen, communicate, deal effectively and cooperatively with clients, team members, consultants, and government agencies.,
•	Coach, mentor, and provide performance-enhancing feedback of assigned team members.,
•	Ability to professionally communicate and delegate respectfully both verbally and in writing to give assignments to office support staff, consultants, and vendors.,
•	Be proficient with all Ruhnau Clarke Architects’ documentation and office practice systems; provide input on ways to improve communication processes and practices.,
•	Write meeting minutes, AFO’s, change orders, RFI responses, and professional correspondence for self-managed projects.,
•	Assist in review of scope of work and agreements with consultant are in alignment with project objectives.,
•	Write RFP’S and negotiate contracts and fees with clients and consultants as directed and supervised by the Principal in Charge.,
•	Have a support role in marketing for new work, interviews and writing marketing proposals as directed by a Principal or other firm leader.,
•	Maintain primary contact with client and have excellent follow-through with client to help get repeat work.,
•	Estimate project schedule and project phase hours for assigned tasks and finish tasks within agreed upon budget hours for said task(s).,
•	Manage projects, budgets, schedules, staffing, and coordinate billing as requested.,
•	Collaborate with design and production staff, construction administrator, and consultants.,
•	Work to keep projects within designed work plans; contribute to firm profits and revenues, and use resources effectively.,
•	Understand contractual liabilities as they relate to projects including fee calculations,,
•	Assist in the preparation of plans of action with their supervisor for resolving project related problems.,
•	Ensure that project conforms to contractual agreement with client, meeting all set budgets, goals, and work assignments for their project team that clearly defines project expectations.   ,
•	Participate in project design charrettes.,
•	Integrate design principles with project design team and maintain design integrity through all phases of the project. ,
•	Coordinate with government agencies, utility companies, and resolve plan check and approval issues with all governing agencies that have jurisdictional authority over the project.,
•	Review documents to ensure the clients’ and Ruhnau Clarke Architects’ minimum standard of quality, coordination, and compliance with the requirements of deliverables in all phases of a project.,
•	Guide and direct project team and consultants for appropriate materials and systems.,
•	Review documents for code compliance in all phases and issue code interpretations.,
•	Review cost estimates and conduct value analysis.,
•	Review and approve changes in collaboration with the project design team and client.,
•	Supervise and resolve issues in preparation of construction documents.,
•	Demonstrate capabilities to support Construction Manager during the Construction Administration phase of the project.,
•	Responsible for the coordination and completeness of the construction drawings and specifications. ,
,
For consideration please email cover letter, resume, and work samples including  construction documents,
    ",2019-08-13 16:26,full-time
Cloud Services Engineer,,DOE,https://sandiego.craigslist.org/csd/sad/d/san-diego-cloud-services-engineer/6955862325.html,"
        ,
Overview ,
,
ScaleMatrix is currently seeking a full-time Cloud Engineer to support the continued design, planning, management, development and support of its internal and client facing Cloud and Data Protection solutions. ScaleMatrix is a growing company with a dynamic and exciting work environment. This person must be able to work in an environment focusing on products and services that enable our clients to utilize cloud services and technologies, and to integrate those offerings with existing infrastructure solutions. This role requires a senior resource with excellent communication skills and an ability to understand a broad range of technical solutions and issues. This person must be able to work independently, as well as part a cross functional team. Teamwork, organizational skills and flexibility are crucial attributes to bring to this position. ,
,
This Cloud Engineer will be involved in projects utilizing a wide range of applications, operating systems, hosting environments and virtualization platforms within the datacenter environment. Tasking will include building, securing, and maintaining a large variety of servers and hosted solutions. The Cloud Engineer must be skilled at using a broad collection of applications, operating systems, Cloud environments and virtualization platforms to meet client requirements ranging from hosting small websites to complex load balanced clusters for Enterprise customers.  ,
,
Required Skillsets: ,
,
· Ability to evaluate current Cloud environments and make recommendations for performance and architecture improvements. ,
,
· Support technical initiatives, ensuring solutions remain current as industry-changing technologies arise. ,
,
· Design and build secure, highly available solutions, utilizing Change Management so production systems have undergone peer review prior to implementation on the live system.  ,
,
· Extensive experience with architecting Cloud solutions, SAN, corporate, and virtualized environments. ,
,
· Hands on experience building enterprise grade production SAN environments. ,
,
· Development Operations experience supporting internal and external programmers and engineers. ,
,
· Experince with building and supporting corporate backup solutions, including multi-site environments ,
,
· Maintain very high uptime of critical corporate and client facing infrastructure. ,
,
· Excellent communication skills and the ability to learn a broad range of technical solutions and issues.  ,
,
· Collaborate with the Sales, Technology and Operation teams to understand and deliver the best possible technical solution from our broad range of products and services. ,
,
· Responsible for the proper maintenance and upkeep of multiple operating systems including corporate VDI and Terminal Services servers, ESXi hosts, vCenter servers, and backup solutions. ,
,
· Build, secure, and maintain a wide variety of fault tolerant Cloud and Data Protection solutions in multiple datacenters. ,
,
· Provide high level support to both clients and corporate solutions and systems.  ,
,
· Investigate and respond to all reports of systems issues for internal and client systems. ,
,
· Provide hardware and software recommendations to senior management for cost effective infrastructure upgrades. ,
,
· Must have demonstrated development and support skills in a fast-paced environment ,
,
· Willingness to work flexible schedule if necessary. ,
,
· Excellent verbal and written communication skills. ,
,
Pluses: ,
,
· Hands on experience with Nimble, VDI and external Cloud solutions. ,
,
· Understanding of the VMware administrative platform including ESXi. ,
,
· Previous project management or sales engineer experience. ,
,
· IT certifications in Cloud, Storage, Windows Server, Active Directory, and VMware. ,
,
· Experience with open source technology, scripting languages ,
,
· Familiar with programming languages including Java, Python and Ruby. ,
,
· Skills in API usage, command line interfaces and SDKs for writing applications. ,
,
  ,
,
Qualifications: ,
,
· Minimum three years of experience in a datacenter or similar computing environment. ,
,
· Experience with enterprise grade Cloud solutions, including both internal and external hosted systems. ,
,
· Extensive experience with cloud-based applications hosted on AWS, Azure, Google or similar solutions. ,
,
· Ability to communicate complex technical concepts in a simple and straightforward business fashion. ,
,
,
,
Apply here -,
,    ",2019-08-13 11:26,full-time
Senior Level Audio Visual Technician / Engineer,,"Open Salary, dependent upon experience and will be negotiated",https://sandiego.craigslist.org/csd/trd/d/senior-level-audio-visual-technician/6956069573.html,"
        ,
,
,
,
,
You’re a well-rounded audiovisual tech with experience working on commercial construction job sites and in professional business environments. 
 ,
 ,You have a strong knowledge of audiovisual best practices, as well as killer customer service skills, and you pay attention to the details. 
,
 ,
Your excellent troubleshooting skills make you the perfect person to provide service and support to our existing AV clients, but you are also able to test and commission new, high-level AV systems. 
 ,
 ,
You’re internally motivated, a self-starter, personable, and able to prioritize responsibilities in order to meet deadlines.  
,
 ,
,
,
 ,
•	Troubleshooting high-level technical issues and supporting existing clients’ AV systems via phone, remote computer connection, or in person
,
•	Testing and commissioning, loading and editing code for new AV projects that include Crestron control systems and various digital signal processor platforms
,
•	Mentoring other technicians and team members to help grow their skill sets
,
,
,
 ,
,
•	Minimum of 4 years of experience in the AV industry that includes working in a customer service/end-user support role
,
•	Ability to read and interpret electronic and hard copy schematics and architectural blue prints
,
•	Hands-on experience with the Crestron software suite, Toolbox, VTPro, SIMPL
,
•	Experience loading, modifying code to various Digital Signal Processors for Biamp, BSS, London, Polycom, Peavey, etc.
,
•	Demonstrated knowledge of computer networking and information technology skills
,
•	CTS Certification preferred
,
•	College-level education preferred
,
,
,
 ,
,
•	Valid Driver’s License (travel within Southern California is required)
•	Ability to work in the United States without sponsorship
,
,
,
,
 ,
 ,
We offer a competitive salary that’s heavily based on experience, as well as a comprehensive benefits package, which includes medical and dental.  We also provide company funded training programs to advance your AV skill set.
,
 ,
 ,
,
 ,
 ,
Fluid Sound (,) is an Audio Video Systems Design & Installation company based in San Diego, California.
,
As a team membe, you’ll get the opportunity to work on some of the most exciting commercial AV projects in Southern California! You’ll be working with the latest technologies on projects that will be both challenging and interesting in corporate, entertainment, hospitality, and retail environments. We promise you’ll never be bored!
,
 ,
Good ideas are heard, appreciated, recognized, and able to be implemented quickly. Team members who prove themselves reliable are given the freedom and flexibility to control their work day to complete their tasks in a way that works best for them. 
,
 ,
We don’t micromanage, but our supervisors are still readily available for support and guidance. There are no “corporate politics” to deal with here—we work hard to minimize daily distractions to make the workplace productive and enjoyable for everyone.
 ,
 ,
 We have a small, tight-knit team made up of professionals who are diverse, unique, and respectful of the differences and skills of others.
 ,
 ,
Fluid Sound invests in the growth and professional development of our team members and offers ample opportunities for advancement within our company.
,
 ,
,
,
 ,
Fluid Sound provides equal employment opportunities to all team members and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, or any other characteristic protected by federal, state, or local laws.
 ,
 ,
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
,
,
,
,
,
Please reply with , in the subject line of your email along with a copy of your RESUME to be considered for this position.,    ",2019-08-13 15:32,full-time
Systems Engineer,,DOE,https://sandiego.craigslist.org/csd/sad/d/san-diego-systems-engineer/6955864815.html,"
        ,
Overview ,
,
ScaleMatrix is currently seeking a full-time Systems Engineer to support the continued development and support of its internal and client facing applications and systems. ScaleMatrix is a growing company with a dynamic and exciting work environment. This person must be able to work in an environment focusing on products and services that enable our clients to utilized cloud services and technologies, and to integrate those offerings with existing infrastructure solutions. This role requires a senior resource with excellent communication skills and an ability to understand a broad range of technical solutions and issues. This person must be able to work independently, as well as part a cross functional team. Teamwork, organizational skills and flexibility are crucial attributes to bring to this position. ,
,
This Systems Engineer will be involved in projects utilizing a wide range of applications, operating systems, and virtualization platforms within the datacenter environment. Tasking will include building, securing, and maintaining a large variety of servers. The Systems Engineer must be skilled at using a broad collection of applications, operating systems, and virtualization platforms to meet client requirements ranging from hosting small websites to complex load balanced clusters for Enterprise customers.  ,
,
Required Skillsets: ,
,
· Ability to evaluate current environments and make recommendations for performance and architecture improvements. ,
,
· Support technical initiatives, ensuring solutions remain up to date as industry-changing technologies arise. ,
,
· Design and build secure, highly available solutions, utilizing Change Management so production systems have undergone peer review prior to implementation on the live system.  ,
,
· Experience with Cloud, SAN, corporate, and virtualized environments. ,
,
· Maintain very high uptime of critical corporate and client facing infrastructure. ,
,
· Excellent communication skills and the ability to learn a broad range of technical solutions and issues.  ,
,
· Collaborate with the Sales, Technology and Operation teams to understand and deliver the best possible technical solution from our broad range of products and services. ,
,
· Responsible for the proper maintenance and upkeep of Linux-based systems including corporate web servers, ESXi hosts, vCenter servers, DNS servers, syslog servers and internally hosted Exchange. ,
,
· Build, secure, and maintain a wide variety of servers in use in multiple datacenters. ,
,
· Provide high level support to both clients and corporate solutions and systems.  ,
,
· Investigate and respond to all reports of systems issues for internal and client systems. ,
,
· Provide hardware and software recommendations to senior management for infrastructure upgrades. ,
,
· Must have demonstrated development and support skills in a fast-paced environment ,
,
· Willingness to work flexible schedule if necessary. ,
,
· Excellent verbal and written communication skills. ,
,
Pluses: ,
,
· Understanding of the VMware administrative platform including ESXi. ,
,
· Previous project management experience. ,
,
· IT certifications in Cloud, Storage, Exchange, Windows Server, Active Directory, VMware and Linux. ,
,
  ,
,
Qualifications: ,
,
· Minimum five years of experience in a datacenter or similar computing environment. ,
,
· Experience with back-office solutions and IT architecture. ,
,
· Experience with cloud-based offerings, including AWS, Azure, Google or similar solutions. ,
,
· Ability to communicate complex technical concepts in a simple and straightforward business fashion. ,
,
,
Apply here-,
,    ",2019-08-13 11:28,full-time
