text,images,compensation,link,address,date,type
"Product Software Engineer - up to $250,000 + Equity",,"Product Software Engineer - up to $250,000 + Equity",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-product-software-engineer/6966925096.html,"
        ,
To learn more or to apply for this position: ,
,
As our Product Software Engineer you will have the opportunity to make a significant impact on the way borrowers understand and interact with their debt. In this role you will take on the responsibilities of a Full Stack Engineer, with between 50 - 80% of the work involved being the Front End. You will work directly with the CEO and a small team of engineers to build streamlined, borrower-focused features that will help consumers to understand their entire financial picture. ,
,
General Requirements,
* 3+ years of startup and industry experience in a frontend or full-stack position,
* Strong grasp of Web fundamentals including modern Javascript frameworks and web servers,
* Self-directed and driven to ship,
* Comfortable working across the stack including prototyping, development, testing and deployment,
,
Responsibilities,
* Work on a small, interdisciplinary team to build new features on our web apps from the ground up,
* Build out complex products and features for our proprietary loan servicing platform,
* Be intellectually curious and honest - we're a ""first principles"" engineering team,
* Contribute to each step of the product development process, from ideation to implementation to release,
* Mentor more junior engineers, interns, or teammates in a lasting and impactful manner,
,
Required Skills,
* Ruby ,
* Python,
* React,
* Javascript,
* Prototyping,
,
Preferred Skills,
* Strong eye for design and the ability to do basic comps when necessary,
* Experience outside of engineering: marketing, sales, design, management,
,
Benefits,
* Equity position,
* H1B transfers accepted    ",2019-08-28 18:44,full-time
Solar PV and Energy Storage Designer,,$19.00 – $36.00 per hour,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-solar-pv-and-energy/6957293730.html,"
        ,
This is your chance to change the way the San Francisco Bay Area powers its homes and businesses. Luminalt, San Francisco’s leading solar design and installation company (CSLB #845219) is looking for a Solar Designer to join us in designing residential and commercial solar photovoltaic installations.,
,
About Luminalt,
,
Locally owned and operated, Luminalt designs and builds solar systems for single and multi-family homes, businesses, and non-profits in the San Francisco Bay Area. Certified as San Francisco's only Woman Business Enterprise solar installation company, Luminalt is also a San Francisco certified green business.,
,
Luminalt's outstanding installation quality and award winning customer service sets us apart. We are committed to increasing diversity in the solar industry and are an equal opportunity employer. Luminalt's office is fast paced, results oriented and growing. Our office is professional, but casual.,
,
Visit , for more information about Luminalt.,
,
About You,
• You have a strong desire to work in the solar and energy storage fields,
• You have a strong desire to learn and continuously improve,
• You are self directed, independent, and solution oriented,
• You are technically minded,
• You are highly motivated and ethical,
• You are reliable and punctual,
• You are committed to working hard, doing great work, and achieving your objectives,
• You value trust, honesty, and teamwork,
• You value outstanding customer service,
,
Qualifications,
• 1+ years of experience working with AutoCAD in a similar or related field,
• Proficient with spreadsheets such as Microsoft Excel or Google Sheets,
• Able to read and interpret building plans, building codes, technical bulletins, code books and related construction documents,
• Valid CA driver's license with a clean driving record,
• Ability to climb ladders and lift up to 25 lbs,
• Proficient in English with excellent written communication,
,
Desired Characteristics,
• 4 year degree in engineering or related field,
• NABCEP certification,
• Understanding of the national electrical code,
• Working knowledge of residential and commercial wiring,
• Previous design and or construction experience in the solar industry,
• Experience with Saleseforce or similar customer relationship management software,
,
Job Description,
,
The Solar Designer plays a key role in maintaining Luminalt’s excellent customer experience while taking projects from sales through permitting to complete installation. The Solar Designer works on all aspects of designing, drawing, and obtaining permits for solar photovoltaic (PV) and energy storage projects. The Solar Designer will also help with pre-sale project estimating for commercial projects including development of preliminary designs, creating proposals, and responding to RFQs. On-the-job training can be provided for areas outside of the candidate’s expertise.,
,
The Solar Designer will,
• Plan and design PV and energy storage systems,
• Draft PV and energy storage system permit documents including electrical plans and to-scale site plans using AutoCAD,
• Create job site work instructions for the installation team,
• Use shade analysis to optimize system design,
• Work with local building departments to apply for and obtain building permits,
• Work with local permitting jurisdictions to assure that our proposals and designs meet their requirements,
• Generate accurate Bill Of Materials (BOMs) for installations,
• Complete service load calculations for adding loads or downsizing main breakers,
• Maintain permitting jurisdiction and building department files and notes,
• Review site intake sheets provided by outside sales consultants, completing a preliminary design, and drafting sales proposals,
• Work with clients to determine their needs, send design revisions, and help the outside sales consultants ,
• Keep apprised of design, financial, and general market considerations with a goal of staying competitive and offering efficient options for our clients,
• Interact with customers and other project stakeholders in person, on the phone, and via email,
• Travel to project sites to gather site-specific data,
• Work both in a team environment and with little supervision,
• Keep a record of work and complete accurate timesheets,
,
,
Please apply with your resume and cover letter to hiringdesigner@luminalt.com,
,
The successful candidate will be required to pass a drug screen prior to starting,
,
The successful candidate will be willing to undergo a background check in accordance with local laws and regulations,
,
The successful candidate will be authorized to work in the United States,
    ",2019-08-15 10:49,full-time
Truck Driver - Automated Vehicle Operator (AVO),"https://images.craigslist.org/00c0c_dMlfGtr1INT_600x450.jpg,https://images.craigslist.org/00D0D_5oKQFVsaA4H_600x450.jpg","Excellent salary, benefits, and equity",https://sfbay.craigslist.org/sfc/trp/d/san-francisco-truck-driver-automated/6968200725.html,"
        ,
Ike’s mission is to make trucks safer, truckers more valuable, and trucking more efficient. We are bringing together the world’s leading experts in transportation and robotics to transform the way the world moves and build a real commercial product at scale. ,
,
About Your Team,
,
The Vehicle Operations team is responsible for safely guiding ours trucks down the road as they learn and adapt to the changing highway environment. You will be in the driver’s seat testing the most exciting application of automation technology on commercial vehicles.,
,
About Your Role,
,
Ike is looking for experienced commercial drivers that are technically savvy and eager to learn. Our robotic trucks will gather information used for automated vehicle development. It is imperative that we find competent, safety-minded operators that are willing to do whatever it takes to meet our mission needs.,
,
About Your Work,
,
- Safely operating a Class-8 tractor for extended periods of time,
- Utilize proprietary software to gather data and troubleshoot in a variety of real world situations, while simultaneously providing detailed and accurate feedback to our engineers,
- Collaborate closely with our talented software and hardware engineers to advance our technologies and internal workflows, and ultimately help shape our product roadmap,
- Develop and maintain positive, cooperative and team-oriented relationships,
- Assist in developing new procedures and policies for the development of the vehicle on-road,
- Availability to travel away from home for 1-2 weeks at a time,
,
About You,
,
- Valid Class A Commercial Driver’s License (CDL) with 3+ years experience (OTR preferred),
- Clean driving record,
- Meet all DOT requirements ,
- Pass a criminal background and pre-employment drug check,
- Willing to be enrolled in Employee Pull Notice program (EPN),
- Pass a number of training checkpoints both in and out of the vehicle,
- Possess a professional attitude and ability to work as part of a team ,
- Able to learn new software applications and processes,
- Troubleshoot and solve software and hardware related issues,
- Have flexibility to work different shifts including mornings and nights,
- Outspoken about safety,
- Bonus: previous autonomous vehicle industry experience,
,
===,
,
Apply on our website at ikerobotics (dot) com or through this link: ,    ",2019-08-30 14:45,full-time
Philanthropy Manager for NonProfit Leading Economic Justice Work!,,"70,000 - 75,000",https://sfbay.craigslist.org/sfc/npo/d/san-francisco-philanthropy-manager-for/6965886093.html,"
        ,
Do you love to convince people to take action and leverage resources for the greater good? Do you love to tell a good story? Are you amazingly talented at keeping track of all kinds of tiny details? Do you want to be challenged, learn a ton of skills, be on the cutting edge of economic justice work, have a good laugh, brainstorm a lot, get frustrated sometimes but inspired frequently, and be on the right side of history?,
,
MAF is looking for a Philanthropy Manager who wants an opportunity to learn and develop within an organization that has a great reputation and leads with big ideas. The Manager will be joining a thriving Fundraising Team, handling important details necessary to a well-functioning department. You’ll bring analytic and project management skills to round out a dynamic team dedicated to philanthropy who are skilled writers and communicators including our CEO, Engagement Manager, Development Coordinator, and grant writer. MAF intends to invest in the professional development of this position so that they can grow and develop, gaining increasing levels of responsibility and opportunity over time.,
,
,
Our story: In this political climate, the need to pivot quickly and be responsive to the needs of low-income and immigrant communities is crucial. This fall, MAF’s Fundraising team took on a big, hairy, audacious goal: quickly fundraise to help Dreamers in the wake of the presidential administration’s attempt to end the program. And that we did. We raised over $4M in 24 days - doubling the amount of our operating budget. It was nothing short of amazing. It meant bringing on brand new exciting funders, people thrilled about our work and our mission, and lots of opportunity and growth. ,
,
Mission Asset Fund (MAF) is a groundbreaking non-profit on a mission to create a fair financial marketplace for hardworking families. We’re a recognized nationwide leader in developing innovative and successful asset-building strategies. A hybrid between a tech start-up and a nonprofit, MAF is a great place to work for both nonprofit or for-profit professionals who are interested in tech for social good.,
,
As MAF grows, we need a passionate Philanthropy Manager who can work with our team to shape the future of our organization. This is a great opportunity for someone who wants not just a job, but also an opportunity to build the financial power in communities of color and be part of a community and culture that is committed to social good. ,
,
An awesome place to work: We’re right in the middle of the Mission District in San Francisco, it’s awesome here, with diverse restaurants, bars, and shops. We’ve got great team outings (fighting zombies, putt-putt and bowling to name a few). And the team is ridiculously dedicated to the mission and fun to work with. Plus, you’ll get to hobnob with a certified MacArthur Genius and learn from him every day. (It also helps that we have the best snacks.) We have a super beautiful office setting, with lots of bright colors and natural light. As a nonprofit and tech startup, we attract people who like to jump in with both feet and who aren’t afraid of learning how to do better. With an open office environment, collaboration and teamwork are more than just values - they’re a way of life. Hailing from many different cultural and professional backgrounds, we are drawn together by a passion for embracing technology and creativity to make the world a better place for hardworking families.,
,
Reports to: Chief Development Officer,
----,
,
ESSENTIAL RESPONSIBILITIES,
,
Fundraising Support (75%):,
,
Research, identify and apply for grant opportunities. Develop, prepare, and edit grant proposals for foundations, corporations, and government grants.,
Develop, prepare, and edit grant reports for foundations and corporations.,
Serve as a liaison to all funding agencies, partner organizations and individuals donors, and other key stakeholders as needed.,
Provide support for fundraising efforts, donor communications, track deadlines, and special events related to the organization’s fundraising plan.,
Responsible for the integrity of systems and data, including acknowledgment of gifts, donor data tracking, reviewing dashboards, grant reporting, and all record-keeping, are maintained in an accurate and timely way and proactively make improvements to systems and infrastructure,
Collaborate with a first-rate grant writer to ensure on-time submission of letters of inquiry, grant proposals, and reports to foundations, corporations, and government supporters,
Support the team to manage an active portfolio of government, corporate donors, private and family foundations and prospects and prepare and run accurate, monthly fundraising reports to track progress towards goals,
Be the center of our philanthropy department and work as a cross-functional superhero within the organization,
Engage key constituents as ambassadors for the organization, including chairing a volunteer advisory council,
,
Communications Support (20%):,
,
Maintain & develop the funder communications plan, website, social media, marketing materials, and other fundraising tools.,
Execute communication strategies for developing and/or strengthening relationships with donors including annual reports (including working with a team of volunteer software engineers, drafting content, etc.),
Write blog posts and other written pieces for print or website, and provide feedback on others’ writing to help them improve.,
Help consistently capture and share lessons learned.,
Help organize occasional special events, including helping to manage logistics, communications, sponsors,
General Operations (5%),
,
Collaborate with staff in making strategic decisions affecting MAF’s future,
Engage in professional development opportunities, participating in trainings and conferences provided to staff,
Participate in staff meetings, attend events, and otherwise contribute to strengthening the roots within our community,
----,
,
You’ll thrive in this role if:,
,
Passionate about the role that data and outcomes can play in fueling social change,
A detail-oriented problem solver who enjoys an entrepreneurial environment,
Love of creating and managing systems and knows how to move a complex project forward,
Talented when it comes to writing and telling stories,
Passionate about economic/social justice issues,
Committed to our values of respect, meeting people where they are, and building on what they have,
Have an eye for creating efficiencies and keeping track of details,
Ability to develop trusting relationships with diverse individuals from many different backgrounds,
Flexible and adaptable (constantly learning new things),
Able to work some evenings and weekends,
Have a B.A. or equivalent experience and/or 2-5 years experience in nonprofit fundraising or other relevant experience (for example, sales, project or program management, program evaluation, business development or analytical background),
Comfort with computers and a variety of online platforms including comfort using CRM/donor databases (Salesforce, Google Drive, Excel, PowerPoint, Word),
Proficiency in Spanish is a plus,
-----,
,
COMPENSATION AND BENEFITS,
This is a full-time position with an anticipated salary range of $70,000-75,000. Salary & title will be dependent on experience.,
We believe in work-life balance and are committed to keeping the workload in alignment with this value.,
We provide 20 days of Paid Time Off (160 hours)/year accrued for the first two years of full-time employment, 13 paid holidays, and a flexible, family-friendly schedule.,
We provide generous medical (HMO and PPO options), dental, vision, disability, life, flexible spending account, and AD&D insurance.,
We care about your financial future. We provide a matching 401K plan that is immediately vested. We will match up to 4% of your compensation/year.,
Commuter benefits & flexible savings accounts: pre-tax benefit accounts used to pay for expenses like healthcare or commuter expenses like parking, vanpool, public transit—including train, subway, bus, and ferry.,
----,
,
OUR HIRING PROCESS & TIMELINE:,
We will read your cover letter first; it’s important for us to understand whether this is the right fit for you. In your cover letter, please be sure to tell us why you are interested in this job, what you like about MAF, and share examples of past work you’ve done that makes you a strong candidate. This position doesn’t require a ton of fundraising experience, so we do not expect you to have a ton, but some helps; feel free to share examples of work done in school or as a volunteer if that makes more sense.,
We will review applications on a rolling basis until the position is filled.,
We will begin scheduling phone interviews in late August.,
We will begin in-person one-hour interviews in late August/early September. If you are invited for an in-person interview, we will ask for 1-2 work samples relevant to this position, e.g. a process you created, a writing sample, or other relevant materials.,
Finalists will be invited to a second-round one-hour interview, and we will make an offer shortly thereafter.,
We would like to have the selected candidate start as soon as possible - starting in September. ,
Equal Opportunity Employment: Mission Asset Fund is an equal opportunity employer; people of color and individuals from diverse backgrounds are encouraged to apply. Mission Asset Fund does not discriminate on the basis of race, color, national origin, ethnic background, religion, sex, sexual orientation, age, or disability.,
,
San Francisco Fair Chance Ordinance: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.,
,
Deadline: Applications are processed on a rolling basis. The position will remain open until filled.,
,
You must apply through our website: ,
,
No phone calls.,
Recruiters, please don't contact this job poster.,
Do NOT contact us with unsolicited services or offers.    ",2019-08-27 11:31,full-time
Medical Device Engineer,,"Compensation $60K-$80K depending on experience, plus stock options and benefits.",https://sfbay.craigslist.org/pen/sci/d/brisbane-medical-device-engineer/6956865016.html,"
        ,
Delpor is a clinical stage life sciences company that utilizes innovative drug delivery technologies in order to develop once yearly therapies for chronic conditions.  We are looking for a full time Medical Device Engineer to join our research team.  The ideal candidate should be either a Mechanical Engineer with medical device background, or a Biomedical Engineer with mechanical engineering background.,
The engineer will assist in product development in a variety of ways.  Tasks will include designing medical devices and related components, interacting with vendors and consultants, sourcing of materials, coordinating the manufacturing of prototype devices, writing reports and technical papers, IP development, addressing CMC issues, etc.,
,
Requirements:,
- A Bachelor’s Degree or a Master’s Degree in Mechanical Engineering, Biomedical Engineering or other related field,
- 1 to 4 years industry experience in medical device design and product development,
- Proficiency in SolidWorks or other equivalent 3-D CAD modeling software and familiarity with drawing standards,
- Experience developing test procedures and reports,
- Strong scientific/technical writing ability,
- Computer proficiency (MS Office) and ability to enter and manipulate data,
- Resourceful and able to work in a fluid startup environment  ,
- Strong written and oral communication skills,
- Reliable and a team player,
- Excellent time management and coordination skills and ability to prioritize workloads and schedules,
- Strong problem solving skills with creativity.,
- Experience working with vendors,
- Self-motivated with a strong work ethic.,
,
Nice to have:,
- Working knowledge of Design Control ,
- Working knowledge of regulatory guidelines ,
- Working knowledge of manufacturing processes,
- Conversant with diffusion/membrane transport/filtration theory,
,
,
Compensation $60K-$80K depending on experience, plus stock options and benefits.  If you meet the requirements above, please email a copy of your resume and cover letter to:  hr@delpor.com.,
,
About Delpor:,
Delpor is a clinical stage life sciences company that utilizes innovative drug delivery technologies in order to develop once yearly therapies for chronic conditions.  The Company’s lead product is a 6-12-month formulation of Risperidone for the treatment of schizophrenia.  Delpor is also pursuing 6-12 month formulations of other drugs targeting CNS conditions including Neuromuscular Diseases, Neurodegenerative Diseases, Addiction, and other conditions.,
    ",2019-08-14 17:08,full-time
Medical Device Engineer,,"Compensation $60K-$80K depending on experience, plus stock options and benefits.",https://sfbay.craigslist.org/pen/egr/d/brisbane-medical-device-engineer/6956865013.html,"
        ,
Delpor is a clinical stage life sciences company that utilizes innovative drug delivery technologies in order to develop once yearly therapies for chronic conditions.  We are looking for a full time Medical Device Engineer to join our research team.  The ideal candidate should be either a Mechanical Engineer with medical device background, or a Biomedical Engineer with mechanical engineering background.,
The engineer will assist in product development in a variety of ways.  Tasks will include designing medical devices and related components, interacting with vendors and consultants, sourcing of materials, coordinating the manufacturing of prototype devices, writing reports and technical papers, IP development, addressing CMC issues, etc.,
,
Requirements:,
- A Bachelor’s Degree or a Master’s Degree in Mechanical Engineering, Biomedical Engineering or other related field,
- 1 to 4 years industry experience in medical device design and product development,
- Proficiency in SolidWorks or other equivalent 3-D CAD modeling software and familiarity with drawing standards,
- Experience developing test procedures and reports,
- Strong scientific/technical writing ability,
- Computer proficiency (MS Office) and ability to enter and manipulate data,
- Resourceful and able to work in a fluid startup environment  ,
- Strong written and oral communication skills,
- Reliable and a team player,
- Excellent time management and coordination skills and ability to prioritize workloads and schedules,
- Strong problem solving skills with creativity.,
- Experience working with vendors,
- Self-motivated with a strong work ethic.,
,
Nice to have:,
- Working knowledge of Design Control ,
- Working knowledge of regulatory guidelines ,
- Working knowledge of manufacturing processes,
- Conversant with diffusion/membrane transport/filtration theory,
,
,
Compensation $60K-$80K depending on experience, plus stock options and benefits.  If you meet the requirements above, please email a copy of your resume and cover letter to:  hr@delpor.com.,
,
About Delpor:,
Delpor is a clinical stage life sciences company that utilizes innovative drug delivery technologies in order to develop once yearly therapies for chronic conditions.  The Company’s lead product is a 6-12-month formulation of Risperidone for the treatment of schizophrenia.  Delpor is also pursuing 6-12 month formulations of other drugs targeting CNS conditions including Neuromuscular Diseases, Neurodegenerative Diseases, Addiction, and other conditions.,
    ",2019-08-14 17:08,full-time
Junior Product Manager,,TBD,https://sfbay.craigslist.org/sfc/edu/d/san-francisco-junior-product-manager/6965117058.html,"
        ,
,:  ,
,
Working with the VP of Business Development, the Junior Product Manager will help define the user experience, monitor product use and performance, author detailed specifications and requirements, and ensure that the delivered product meets the business goals for CollegeData, 1st Financial Bank USA’s affiliate site.,
 ,
This position requires being proficient in the tools of product management and a deep working knowledge of user experience, interaction design, web technology, user acquisition, mobile applications, and online marketing, including Search Engine Optimization (SEO). This needs to be coupled with proficient web skills and the ability to connect the design of the site to the business goals of the site.,
 ,
The individual hired will also incorporate product solutions and strategy, ensuring that their product road map supports CollegeData’s business goals and overall marketing strategy.,
 ,
This position will have a significant impact on the future success of CollegeData, developing new site features and discovering ways to enhance the existing tools on the site to provide our users with an exceptional college planning resource.,
,
,:,
,
•	Report to and work with VP of Business Development to define product vision and product road map that supports CollegeData’s design, marketing, and overall goals,
•	Under the supervision of the VP of Business Development, conduct requirements gathering and create project documentation (project charters with clear outlined scope, detailed requirements, use cases, user flows and reporting). ,
•	Serve as IT’s link to the business, acting as the subject matter expert for the functional operation of CollegeData’s software applications and business processes ,
•	Work closely with internal project managers and engineers to execute the product road map ,
•	Provide functional guidance to engineers to resolve issues ,
•	Leverage web analytics, visitor analytics, and customer data analytics to develop an understanding of user behavior and to recommend strategies that will help the site achieve its business goals ,
•	Define success metrics for projects, ensuring that relevant data is collected in analytics ,
•	Create page wireframes to explore multiple user experience options ,
•	Work closely with CollegeData’s content creators, user interface design, engineers, and quality assurance to ensure that projects achieve the desired business goals ,
•	Prioritize product enhancements and triage bugs ,
•	Work with CollegeData’s UI/Visual designers, providing support, prioritizing design tasks, and reviewing work progress ,
•	Complete user acceptance testing of new features and enhancements  ,
,
,:,
,
,: Bachelor’s degree in computer science or equivalent experience,
 ,
,:,
o	Minimum of 2-4 years product management experience with consumer facing websites, with a focus on content-rich, data-driven web applications and mobile applications,
o	Ability to create a clean user experience from complex requirements,
o	Familiarity with new and emerging website design approaches ,
o	Strong desire to leverage data and analytics to achieve business goals,
o	Superior written and oral communication skills ,
o	Technical aptitude and ability to collaborate with a development team,
o	Ability to create wireframes and mockups,
o	Demonstrated experience working with the full product development life cycle,
 ,
,:,
o	Familiarity with website infrastructure ,
o	Familiarity with best practices in Search Engine Optimization (SEO),
o	Experience extending website functionality by integrating with Facebook, Instagram, Twitter and other social networks and third party APIs ,
o	Experience with email marketing and online advertising networks ,
o	HTML and CSS coding experience ,
,
,:,
o	Exceptional problem-solving skill and ability to effectively collaborate with cross-functional global teams ,
o	Demonstrated experience collaborating closely with content creators, marketers, UI designers, engineers, database administrators and quality assurance personnel ,
o	Ability to identify, analyze and clarify multiple options for new product development ,
o	Ability to meet project deadlines and commitments,
o	A strong desire to work with, and be a reliable member of a small team, wearing multiple hats to get things done ,
o	Comfortable building knowledge in areas beyond current area of expertise,
o	Excellent presentation and communication skills. ,
o	Experience working with or developing web applications for college bound high school students ,
o	Knowledge of college planning, admission and financial aid from professional experience,
,
,
,
We provide a highly competitive and comprehensive compensation and benefits program including affordable medical/dental/vision insurance, generous paid leave program, 401(k), health savings account, tuition reimbursement, financial childcare assistance and much more!,
,
1fb.net inc is an EO employer - M / F / Vets / Disabled.,
    ",2019-08-26 11:21,full-time
Lead Full Stack Engineer,,very lucrative compensation package,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-lead-full-stack-engineer/6956092397.html,"
        ,
,    ",2019-08-13 16:06,full-time
Back-End Engineer,,Determine on Experience,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-back-end-engineer/6958287329.html,"
        ,
Whil is the leader in digital wellbeing and mindfulness training. We have a wellbeing platform with daily sessions and 250+ science-based mini-courses for mindfulness, sleep, emotional intelligence skills, and more. In addition, we have 1,800 audio/video sessions based in neuroscience, mindfulness, emotional intelligence, and positive psychology. We’re committed to improving company cultures and helping all employees live healthier, happier, and more engaged lives!,
,
We’re looking for a talented scala developer to join our collaborative engineering team.  You will continue our rapid growth by building solutions that add significant value to our product with a goal of increasing customer satisfaction and engagement. We are looking for someone to help simplify infrastructure and assist with back-end refactoring. ,
,
Requirements:,
-B.S. in Computer Science, Engineering or equivalent,
-5+ years of software development experience, releasing commercial products or web-based high volume transaction systems,
-Prior experience with Scala or Functional Programming,
-Strong experience with web frameworks, databases and API development,
-Strong foundation in OOP, REST, SQL, messaging systems and streaming data,
-Strong experience working in virtualized environments like Docker,
-Work with data sets of varying sizes and complexity, including both structured and unstructured data,
-Excellent communication skills and proactive in suggesting improvements,
-Ability to plan and deliver on-time and under pressure,
-Good sense of humor with a great ability to work with others,
,
Preferred Experience:,
-Experience with Akka, Spray or OAuth is a big plus,
-Strong knowledge of and interest in microservices and reactive programming,
-Experience building application metrics, user analytics and dashboards,
-Experience with Business Intelligence systems (Looker, BO, Tableau),
-Previous entrepreneurial venture or early stage startup experience,
-Experience in SSO integrations, web services & technology,
-AWS: EC2, Lambda, VPC, S3, EBS, EMR, CloudWatch, Redshift, Aurora,
-Experience with Scrum processes & systems (sprints, JIRA, Confluence),
-Ops: Salt Stack, ThreatStack, Nagios, Slack integrations,
-Misc: Akka Persistence, protobuf, Cassandra, Kafka, Spark Streaming,
-Regulations: GDPR, SOC 2, HIPAA,
,
 ,
Perks and Benefits:,
-Competitive compensation and benefits package (i.e. free healthcare, 401K, etc.),
-Start-up perks, including ping-pong, shuffleboard, daily mindfulness meditation using our product, catered lunches, a stocked snack cabinet, and coffee,
-Free parking in the lot behind our building,
-Funds for annual career development and team bonding,
-4-weeks annual PTO + 1 day for each year worked,
-10 paid holidays,
-We’re in a fast-paced growth mode and each team has high-performing, great people!,
,
We know great work isn’t done alone. We’re building a team of individuals with different strengths to benefit our employees and members. We strongly believe that different backgrounds and ideas are a competitive advantage; we hire candidates of any race, color, ancestry, religion, sex, national origin, sexual orientation, gender identity, age, marital or family status, disability, Veteran status, and any other status. Whil Concepts is proud to be an Equal Opportunity and Affirmative Action Employer and will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. If you have a disability or special need that requires accommodation, please let us know.,
    ",2019-08-16 16:16,full-time
"Senior Mobile Engineer - up to $160,000 + Equity",,"up to $160,000 + Equity",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-mobile-engineer-up/6956844326.html,"
        ,
Hiring now, for more information about this job and others like it check out : ,
,
We are looking for a product oriented engineer to own and manage the front-end code base as a primary contributor. You have a track record of shipping high quality production code using React Native, Typescript and GraphQL. You will be working as a primary contributor to turn designs into production code, integrate GraphQL end points, and identify and fix front end related bugs.,
,
General Requirements,
* 3+ years experience in mobile app development.,
* Familiarity with typescript, expo, apollo client (GraphQL), Jest testing framework,
* Experience integrating GraphQL API endpoints,
* Computer Science or related degree,
,
Responsibilities,
* Integrate GraphQL end points into mobile app,
* Turn designs into a beautiful polished app,
* Refactor code and improve user experience,
,
Required Skills,
* GraphQL,
* React Native ,
* Typescript,
* UX,
* Expo,
* Apollo ,
* Jest testing framework,
,
Preferred Skills,
* Experience working at consumer or fintech startup,
* Design and detail oriented    ",2019-08-14 16:32,full-time
